std indirection indirection+rec indirection+resize-once indirection+resize-once+spill 
0.004070 0.004013 0.004047 0.004009 0.004336 
0.004081 0.004015 0.004051 0.004010 0.004338 
0.004081 0.004017 0.004053 0.004010 0.004352 
0.004091 0.004017 0.004053 0.004011 0.004356 
0.004096 0.004019 0.004054 0.004011 0.004357 
0.004099 0.004021 0.004055 0.004012 0.004358 
0.004100 0.004021 0.004057 0.004012 0.004359 
0.004100 0.004021 0.004057 0.004017 0.004359 
0.004102 0.004022 0.004058 0.004017 0.004361 
0.004102 0.004024 0.004059 0.004017 0.004363 
0.004102 0.004024 0.004061 0.004018 0.004363 
0.004106 0.004024 0.004062 0.004019 0.004365 
0.004107 0.004026 0.004064 0.004020 0.004366 
0.004109 0.004026 0.004065 0.004020 0.004367 
0.004109 0.004028 0.004066 0.004021 0.004367 
0.004110 0.004028 0.004067 0.004022 0.004368 
0.004112 0.004029 0.004069 0.004022 0.004368 
0.004113 0.004031 0.004069 0.004023 0.004369 
0.004114 0.004031 0.004070 0.004024 0.004369 
0.004114 0.004031 0.004070 0.004024 0.004369 
0.004115 0.004032 0.004070 0.004025 0.004370 
0.004116 0.004032 0.004071 0.004026 0.004370 
0.004116 0.004032 0.004071 0.004026 0.004373 
0.004119 0.004032 0.004071 0.004027 0.004374 
0.004120 0.004034 0.004071 0.004027 0.004374 
0.004120 0.004034 0.004071 0.004028 0.004375 
0.004121 0.004034 0.004072 0.004029 0.004376 
0.004126 0.004034 0.004072 0.004029 0.004376 
0.004126 0.004035 0.004073 0.004030 0.004380 
0.004127 0.004036 0.004074 0.004032 0.004380 
0.004129 0.004036 0.004074 0.004032 0.004380 
0.004130 0.004036 0.004074 0.004032 0.004381 
0.004130 0.004036 0.004075 0.004032 0.004385 
0.004130 0.004036 0.004077 0.004033 0.004386 
0.004137 0.004038 0.004077 0.004033 0.004386 
0.004138 0.004038 0.004078 0.004033 0.004388 
0.004143 0.004038 0.004078 0.004034 0.004388 
0.004144 0.004039 0.004079 0.004035 0.004389 
0.004145 0.004039 0.004079 0.004036 0.004389 
0.004146 0.004040 0.004079 0.004039 0.004390 
0.004153 0.004041 0.004080 0.004040 0.004390 
0.004156 0.004041 0.004080 0.004041 0.004391 
0.004156 0.004042 0.004081 0.004041 0.004393 
0.004159 0.004043 0.004083 0.004043 0.004394 
0.004161 0.004043 0.004084 0.004043 0.004395 
0.004165 0.004043 0.004085 0.004043 0.004396 
0.004167 0.004045 0.004085 0.004044 0.004396 
0.004167 0.004046 0.004085 0.004044 0.004396 
0.004168 0.004047 0.004086 0.004045 0.004399 
0.004170 0.004048 0.004086 0.004048 0.004399 
0.004171 0.004049 0.004088 0.004049 0.004400 
0.004171 0.004052 0.004090 0.004051 0.004401 
0.004178 0.004053 0.004090 0.004057 0.004401 
0.004178 0.004057 0.004090 0.004057 0.004403 
0.004180 0.004058 0.004092 0.004059 0.004404 
0.004182 0.004058 0.004092 0.004060 0.004405 
0.004188 0.004065 0.004092 0.004060 0.004410 
0.004188 0.004066 0.004092 0.004063 0.004415 
0.004192 0.004066 0.004093 0.004063 0.004418 
0.004193 0.004067 0.004093 0.004064 0.004421 
0.004194 0.004071 0.004094 0.004067 0.004425 
0.004194 0.004072 0.004094 0.004071 0.004427 
0.004196 0.004074 0.004094 0.004072 0.004431 
0.004198 0.004076 0.004095 0.004078 0.004431 
0.004199 0.004077 0.004095 0.004078 0.004433 
0.004200 0.004078 0.004098 0.004081 0.004434 
0.004203 0.004086 0.004098 0.004082 0.004435 
0.004206 0.004087 0.004099 0.004086 0.004437 
0.004207 0.004087 0.004103 0.004088 0.004437 
0.004209 0.004088 0.004104 0.004090 0.004442 
0.004212 0.004089 0.004104 0.004090 0.004447 
0.004214 0.004097 0.004106 0.004092 0.004454 
0.004215 0.004099 0.004110 0.004093 0.004455 
0.004216 0.004100 0.004110 0.004094 0.004456 
0.004217 0.004102 0.004110 0.004095 0.004460 
0.004220 0.004103 0.004111 0.004097 0.004461 
0.004220 0.004105 0.004112 0.004100 0.004464 
0.004223 0.004106 0.004113 0.004102 0.004465 
0.004224 0.004106 0.004113 0.004103 0.004466 
0.004233 0.004106 0.004117 0.004104 0.004469 
0.004236 0.004110 0.004117 0.004105 0.004469 
0.004238 0.004111 0.004124 0.004106 0.004471 
0.004243 0.004111 0.004127 0.004106 0.004473 
0.004252 0.004112 0.004128 0.004108 0.004478 
0.004278 0.004114 0.004136 0.004112 0.004485 
0.004285 0.004115 0.004138 0.004113 0.004491 
0.004285 0.004122 0.004139 0.004115 0.004493 
0.004289 0.004125 0.004143 0.004115 0.004494 
0.004290 0.004134 0.004144 0.004119 0.004496 
0.004293 0.004147 0.004146 0.004128 0.004498 
0.004298 0.004148 0.004147 0.004135 0.004500 
0.004299 0.004149 0.004149 0.004138 0.004502 
0.004300 0.004151 0.004155 0.004138 0.004504 
0.004301 0.004152 0.004156 0.004140 0.004506 
0.004326 0.004155 0.004167 0.004144 0.004529 
0.004326 0.004163 0.004171 0.004148 0.004557 
0.005009 0.004174 0.004174 0.004179 0.004578 
0.005631 0.004181 0.004175 0.004180 0.004595 
0.006069 0.004182 0.004180 0.004182 0.004606 
0.007643 0.004295 0.004184 0.004209 0.005276 

