std indirection indirection+rec indirection+resize-once indirection+resize-once+spill 
0.001751 0.001738 0.001743 0.001741 0.001769 
0.001753 0.001741 0.001744 0.001746 0.001770 
0.001755 0.001741 0.001745 0.001748 0.001772 
0.001756 0.001743 0.001745 0.001748 0.001774 
0.001757 0.001744 0.001745 0.001749 0.001774 
0.001758 0.001744 0.001746 0.001750 0.001774 
0.001758 0.001745 0.001746 0.001750 0.001775 
0.001758 0.001746 0.001746 0.001751 0.001775 
0.001759 0.001747 0.001746 0.001752 0.001776 
0.001760 0.001747 0.001747 0.001752 0.001777 
0.001762 0.001747 0.001747 0.001752 0.001777 
0.001762 0.001748 0.001747 0.001754 0.001777 
0.001762 0.001748 0.001748 0.001754 0.001778 
0.001762 0.001748 0.001748 0.001754 0.001778 
0.001763 0.001749 0.001748 0.001755 0.001779 
0.001766 0.001749 0.001749 0.001755 0.001779 
0.001766 0.001750 0.001750 0.001756 0.001779 
0.001770 0.001750 0.001750 0.001756 0.001779 
0.001770 0.001752 0.001750 0.001756 0.001780 
0.001771 0.001752 0.001751 0.001756 0.001780 
0.001771 0.001752 0.001751 0.001756 0.001781 
0.001773 0.001753 0.001751 0.001756 0.001781 
0.001773 0.001754 0.001752 0.001757 0.001781 
0.001776 0.001754 0.001752 0.001757 0.001782 
0.001778 0.001757 0.001752 0.001757 0.001782 
0.001780 0.001757 0.001752 0.001758 0.001782 
0.001780 0.001758 0.001753 0.001758 0.001782 
0.001784 0.001758 0.001753 0.001758 0.001784 
0.001784 0.001758 0.001753 0.001760 0.001784 
0.001785 0.001767 0.001753 0.001760 0.001784 
0.001786 0.001770 0.001754 0.001760 0.001784 
0.001788 0.001771 0.001754 0.001760 0.001785 
0.001789 0.001772 0.001755 0.001761 0.001785 
0.001789 0.001773 0.001755 0.001761 0.001785 
0.001790 0.001775 0.001756 0.001762 0.001785 
0.001793 0.001775 0.001758 0.001763 0.001786 
0.001794 0.001776 0.001759 0.001764 0.001788 
0.001795 0.001777 0.001760 0.001766 0.001788 
0.001798 0.001778 0.001761 0.001766 0.001789 
0.001801 0.001778 0.001761 0.001767 0.001790 
0.001801 0.001778 0.001762 0.001768 0.001791 
0.001801 0.001778 0.001762 0.001769 0.001791 
0.001804 0.001779 0.001763 0.001770 0.001791 
0.001805 0.001779 0.001765 0.001770 0.001792 
0.001807 0.001780 0.001770 0.001770 0.001793 
0.001808 0.001781 0.001774 0.001771 0.001793 
0.001808 0.001781 0.001777 0.001779 0.001801 
0.001810 0.001782 0.001778 0.001779 0.001802 
0.001811 0.001783 0.001779 0.001781 0.001803 
0.001814 0.001787 0.001779 0.001782 0.001806 
0.001816 0.001788 0.001782 0.001783 0.001806 
0.001824 0.001794 0.001782 0.001783 0.001808 
0.001826 0.001795 0.001782 0.001785 0.001808 
0.001826 0.001796 0.001782 0.001786 0.001809 
0.001826 0.001803 0.001783 0.001786 0.001809 
0.001827 0.001806 0.001784 0.001787 0.001810 
0.001829 0.001806 0.001785 0.001789 0.001810 
0.001835 0.001807 0.001787 0.001789 0.001810 
0.001850 0.001809 0.001787 0.001789 0.001811 
0.001850 0.001809 0.001789 0.001790 0.001811 
0.001862 0.001809 0.001790 0.001791 0.001812 
0.001865 0.001811 0.001791 0.001792 0.001812 
0.001869 0.001814 0.001798 0.001794 0.001812 
0.001870 0.001817 0.001799 0.001796 0.001813 
0.001872 0.001817 0.001801 0.001799 0.001814 
0.001872 0.001820 0.001803 0.001799 0.001817 
0.001873 0.001823 0.001809 0.001800 0.001823 
0.001878 0.001823 0.001812 0.001801 0.001823 
0.001883 0.001827 0.001825 0.001810 0.001826 
0.001884 0.001829 0.001827 0.001811 0.001836 
0.001897 0.001830 0.001827 0.001812 0.001838 
0.001899 0.001830 0.001827 0.001813 0.001851 
0.001920 0.001833 0.001829 0.001821 0.001852 
0.001925 0.001840 0.001830 0.001823 0.001852 
0.001926 0.001843 0.001838 0.001824 0.001855 
0.001926 0.001848 0.001840 0.001826 0.001858 
0.001933 0.001856 0.001850 0.001832 0.001858 
0.001934 0.001862 0.001852 0.001833 0.001875 
0.001938 0.001862 0.001858 0.001839 0.001899 
0.001944 0.001877 0.001912 0.001862 0.001937 
0.001951 0.001904 0.001913 0.001911 0.001941 
0.001954 0.001908 0.001914 0.001914 0.001943 
0.001961 0.001910 0.001915 0.001916 0.001943 
0.001973 0.001911 0.001915 0.001916 0.001943 
0.001990 0.001912 0.001917 0.001918 0.001944 
0.001994 0.001912 0.001917 0.001920 0.001945 
0.002005 0.001913 0.001917 0.001920 0.001946 
0.002006 0.001917 0.001917 0.001922 0.001946 
0.002016 0.001919 0.001918 0.001923 0.001947 
0.002022 0.001922 0.001918 0.001925 0.001947 
0.002027 0.001937 0.001922 0.001925 0.001948 
0.002033 0.001940 0.001922 0.001926 0.001948 
0.002050 0.001947 0.001927 0.001929 0.001951 
0.002156 0.001951 0.001929 0.001935 0.001952 
0.002853 0.001970 0.001947 0.001954 0.001953 
0.002919 0.001978 0.001949 0.001954 0.001954 
0.003260 0.001983 0.001949 0.001955 0.001972 
0.003664 0.001989 0.001985 0.001991 0.001988 
0.004191 0.002026 0.001994 0.002001 0.002009 
0.005049 0.002028 0.002168 0.002021 0.002016 

