std indirection indirection+rec indirection+resize-once indirection+resize-once+spill 
0.001331 0.001327 0.001337 0.001340 0.001359 
0.001346 0.001337 0.001339 0.001349 0.001360 
0.001352 0.001347 0.001339 0.001350 0.001363 
0.001353 0.001349 0.001340 0.001350 0.001367 
0.001355 0.001350 0.001341 0.001351 0.001367 
0.001355 0.001351 0.001343 0.001353 0.001368 
0.001355 0.001352 0.001345 0.001357 0.001368 
0.001357 0.001353 0.001345 0.001359 0.001369 
0.001357 0.001353 0.001346 0.001360 0.001369 
0.001357 0.001356 0.001347 0.001361 0.001370 
0.001357 0.001357 0.001347 0.001363 0.001371 
0.001359 0.001358 0.001347 0.001363 0.001373 
0.001363 0.001359 0.001349 0.001363 0.001374 
0.001363 0.001360 0.001349 0.001363 0.001374 
0.001363 0.001361 0.001351 0.001365 0.001375 
0.001363 0.001361 0.001351 0.001365 0.001375 
0.001364 0.001362 0.001353 0.001367 0.001377 
0.001364 0.001362 0.001354 0.001367 0.001377 
0.001365 0.001363 0.001354 0.001368 0.001380 
0.001366 0.001364 0.001354 0.001368 0.001380 
0.001366 0.001364 0.001355 0.001370 0.001382 
0.001369 0.001365 0.001358 0.001371 0.001383 
0.001370 0.001366 0.001358 0.001371 0.001383 
0.001371 0.001366 0.001358 0.001371 0.001386 
0.001371 0.001367 0.001358 0.001373 0.001386 
0.001372 0.001367 0.001360 0.001374 0.001387 
0.001372 0.001367 0.001360 0.001375 0.001387 
0.001373 0.001367 0.001361 0.001376 0.001387 
0.001374 0.001368 0.001361 0.001376 0.001387 
0.001376 0.001368 0.001362 0.001376 0.001388 
0.001377 0.001369 0.001362 0.001377 0.001388 
0.001377 0.001369 0.001362 0.001377 0.001388 
0.001377 0.001369 0.001363 0.001377 0.001388 
0.001377 0.001369 0.001363 0.001378 0.001388 
0.001377 0.001369 0.001364 0.001379 0.001389 
0.001377 0.001369 0.001365 0.001379 0.001389 
0.001378 0.001370 0.001365 0.001379 0.001390 
0.001380 0.001371 0.001365 0.001380 0.001391 
0.001383 0.001371 0.001365 0.001381 0.001392 
0.001384 0.001371 0.001366 0.001381 0.001395 
0.001387 0.001371 0.001366 0.001382 0.001395 
0.001389 0.001372 0.001367 0.001382 0.001396 
0.001389 0.001374 0.001368 0.001383 0.001398 
0.001391 0.001375 0.001368 0.001384 0.001399 
0.001395 0.001377 0.001368 0.001384 0.001400 
0.001401 0.001377 0.001368 0.001384 0.001401 
0.001402 0.001378 0.001368 0.001384 0.001402 
0.001403 0.001379 0.001370 0.001385 0.001402 
0.001408 0.001379 0.001370 0.001385 0.001403 
0.001409 0.001379 0.001371 0.001386 0.001403 
0.001410 0.001381 0.001374 0.001388 0.001405 
0.001411 0.001381 0.001374 0.001389 0.001405 
0.001411 0.001382 0.001376 0.001389 0.001405 
0.001412 0.001383 0.001376 0.001390 0.001406 
0.001412 0.001384 0.001377 0.001391 0.001407 
0.001413 0.001385 0.001377 0.001392 0.001407 
0.001416 0.001386 0.001378 0.001392 0.001408 
0.001417 0.001387 0.001378 0.001394 0.001410 
0.001419 0.001387 0.001379 0.001397 0.001410 
0.001419 0.001387 0.001380 0.001398 0.001413 
0.001422 0.001392 0.001381 0.001401 0.001414 
0.001423 0.001392 0.001381 0.001402 0.001415 
0.001423 0.001393 0.001381 0.001407 0.001416 
0.001424 0.001394 0.001386 0.001408 0.001418 
0.001424 0.001395 0.001386 0.001409 0.001419 
0.001429 0.001399 0.001388 0.001410 0.001422 
0.001430 0.001400 0.001389 0.001410 0.001422 
0.001432 0.001402 0.001392 0.001415 0.001424 
0.001435 0.001403 0.001395 0.001416 0.001424 
0.001435 0.001403 0.001395 0.001422 0.001425 
0.001438 0.001407 0.001395 0.001423 0.001426 
0.001440 0.001408 0.001402 0.001424 0.001427 
0.001441 0.001408 0.001402 0.001425 0.001428 
0.001443 0.001412 0.001404 0.001429 0.001428 
0.001443 0.001413 0.001411 0.001432 0.001436 
0.001443 0.001419 0.001411 0.001433 0.001438 
0.001449 0.001420 0.001416 0.001436 0.001439 
0.001450 0.001422 0.001420 0.001437 0.001445 
0.001456 0.001424 0.001421 0.001446 0.001448 
0.001458 0.001427 0.001422 0.001487 0.001451 
0.001458 0.001428 0.001423 0.001488 0.001456 
0.001459 0.001429 0.001429 0.001495 0.001468 
0.001461 0.001430 0.001433 0.001503 0.001519 
0.001468 0.001432 0.001436 0.001509 0.001526 
0.001493 0.001432 0.001456 0.001511 0.001527 
0.001517 0.001435 0.001481 0.001524 0.001528 
0.001686 0.001437 0.001495 0.001528 0.001529 
0.001716 0.001446 0.001504 0.001530 0.001530 
0.001728 0.001449 0.001504 0.001538 0.001532 
0.001729 0.001469 0.001509 0.001549 0.001556 
0.001788 0.001488 0.001519 0.001596 0.001643 
0.001788 0.001551 0.001561 0.001726 0.001713 
0.002003 0.001655 0.001599 0.001770 0.001742 
0.002016 0.001673 0.001738 0.001785 0.001803 
0.002060 0.001720 0.001786 0.001787 0.001803 
0.002080 0.001776 0.001834 0.001788 0.001814 
0.002153 0.001917 0.001852 0.001797 0.001818 
0.002694 0.001918 0.001905 0.001814 0.001837 
0.002720 0.001974 0.001973 0.002068 0.001971 
0.003753 0.004402 0.002379 0.002242 0.002169 

