std indirection indirection+rec indirection+resize-once indirection+resize-once+spill 
0.000210 0.000147 0.000141 0.000136 0.000138 
0.000210 0.000147 0.000142 0.000136 0.000139 
0.000211 0.000147 0.000142 0.000136 0.000139 
0.000211 0.000147 0.000142 0.000136 0.000139 
0.000211 0.000148 0.000143 0.000136 0.000139 
0.000211 0.000148 0.000143 0.000136 0.000139 
0.000211 0.000148 0.000143 0.000136 0.000139 
0.000211 0.000148 0.000143 0.000136 0.000139 
0.000211 0.000149 0.000143 0.000136 0.000139 
0.000211 0.000149 0.000143 0.000136 0.000139 
0.000211 0.000149 0.000143 0.000136 0.000139 
0.000211 0.000149 0.000143 0.000136 0.000139 
0.000211 0.000150 0.000143 0.000136 0.000139 
0.000211 0.000151 0.000143 0.000137 0.000139 
0.000211 0.000152 0.000143 0.000137 0.000140 
0.000212 0.000152 0.000143 0.000137 0.000140 
0.000212 0.000153 0.000143 0.000137 0.000140 
0.000212 0.000153 0.000144 0.000137 0.000140 
0.000212 0.000154 0.000144 0.000137 0.000140 
0.000212 0.000154 0.000144 0.000137 0.000140 
0.000212 0.000154 0.000144 0.000137 0.000140 
0.000212 0.000154 0.000144 0.000137 0.000140 
0.000213 0.000154 0.000144 0.000137 0.000140 
0.000213 0.000154 0.000144 0.000137 0.000140 
0.000213 0.000154 0.000144 0.000137 0.000140 
0.000214 0.000154 0.000144 0.000137 0.000140 
0.000214 0.000154 0.000144 0.000137 0.000140 
0.000214 0.000154 0.000144 0.000137 0.000140 
0.000215 0.000154 0.000144 0.000137 0.000140 
0.000217 0.000154 0.000144 0.000137 0.000140 
0.000217 0.000154 0.000144 0.000137 0.000140 
0.000221 0.000154 0.000144 0.000137 0.000140 
0.000221 0.000154 0.000144 0.000137 0.000140 
0.000224 0.000155 0.000144 0.000137 0.000140 
0.000230 0.000155 0.000144 0.000137 0.000140 
0.000241 0.000155 0.000144 0.000137 0.000140 
0.000247 0.000155 0.000144 0.000137 0.000140 
0.000321 0.000155 0.000144 0.000137 0.000140 
0.000321 0.000155 0.000144 0.000137 0.000140 
0.000321 0.000155 0.000144 0.000137 0.000140 
0.000321 0.000155 0.000144 0.000137 0.000140 
0.000321 0.000155 0.000144 0.000137 0.000140 
0.000322 0.000155 0.000144 0.000137 0.000140 
0.000322 0.000155 0.000144 0.000137 0.000140 
0.000322 0.000155 0.000144 0.000137 0.000140 
0.000322 0.000155 0.000145 0.000137 0.000140 
0.000323 0.000155 0.000145 0.000137 0.000140 
0.000323 0.000155 0.000145 0.000137 0.000140 
0.000323 0.000155 0.000145 0.000137 0.000140 
0.000324 0.000155 0.000145 0.000137 0.000140 
0.000324 0.000155 0.000145 0.000137 0.000140 
0.000324 0.000155 0.000145 0.000138 0.000140 
0.000324 0.000156 0.000145 0.000138 0.000140 
0.000325 0.000156 0.000145 0.000138 0.000140 
0.000325 0.000156 0.000145 0.000138 0.000141 
0.000325 0.000156 0.000145 0.000138 0.000141 
0.000326 0.000156 0.000145 0.000138 0.000141 
0.000326 0.000156 0.000145 0.000138 0.000141 
0.000327 0.000156 0.000145 0.000138 0.000141 
0.000327 0.000156 0.000145 0.000138 0.000141 
0.000328 0.000156 0.000146 0.000139 0.000141 
0.000328 0.000156 0.000146 0.000139 0.000141 
0.000333 0.000156 0.000147 0.000139 0.000141 
0.000334 0.000156 0.000148 0.000140 0.000141 
0.000336 0.000156 0.000148 0.000140 0.000141 
0.000339 0.000156 0.000148 0.000140 0.000141 
0.000344 0.000156 0.000149 0.000141 0.000141 
0.000376 0.000156 0.000149 0.000142 0.000141 
0.000381 0.000156 0.000149 0.000142 0.000141 
0.000469 0.000156 0.000149 0.000142 0.000141 
0.000469 0.000156 0.000149 0.000142 0.000141 
0.000469 0.000156 0.000149 0.000142 0.000141 
0.000470 0.000156 0.000150 0.000142 0.000141 
0.000470 0.000156 0.000150 0.000143 0.000141 
0.000472 0.000156 0.000150 0.000143 0.000141 
0.000475 0.000157 0.000150 0.000143 0.000141 
0.000488 0.000159 0.000150 0.000143 0.000141 
0.000488 0.000159 0.000150 0.000143 0.000141 
0.000498 0.000159 0.000151 0.000143 0.000141 
0.000500 0.000159 0.000151 0.000143 0.000141 
0.000508 0.000161 0.000151 0.000143 0.000142 
0.000509 0.000161 0.000151 0.000143 0.000142 
0.000509 0.000161 0.000151 0.000144 0.000142 
0.000509 0.000161 0.000151 0.000145 0.000142 
0.000510 0.000161 0.000151 0.000145 0.000142 
0.000511 0.000161 0.000151 0.000145 0.000143 
0.000511 0.000162 0.000152 0.000146 0.000143 
0.000512 0.000162 0.000153 0.000147 0.000143 
0.000514 0.000162 0.000154 0.000148 0.000143 
0.000515 0.000163 0.000154 0.000148 0.000144 
0.000515 0.000168 0.000157 0.000149 0.000144 
0.000516 0.000170 0.000157 0.000149 0.000144 
0.000516 0.000225 0.000157 0.000151 0.000144 
0.000518 0.000229 0.000158 0.000152 0.000144 
0.000521 0.000229 0.000158 0.000152 0.000145 
0.000522 0.000229 0.000159 0.000156 0.000145 
0.000526 0.000229 0.000164 0.000157 0.000145 
0.000531 0.000231 0.000164 0.000159 0.000145 
0.000537 0.000233 0.000165 0.000159 0.000146 
0.000565 0.000244 0.000165 0.000160 0.000158 

