std indirection indirection+rec indirection+resize-once indirection+resize-once+spill 
0.002489 0.002404 0.002347 0.002474 0.002503 
0.002492 0.002406 0.002348 0.002476 0.002523 
0.002493 0.002406 0.002349 0.002477 0.002524 
0.002494 0.002407 0.002350 0.002478 0.002526 
0.002495 0.002407 0.002351 0.002478 0.002526 
0.002495 0.002408 0.002351 0.002479 0.002527 
0.002498 0.002408 0.002351 0.002479 0.002527 
0.002500 0.002408 0.002351 0.002480 0.002528 
0.002500 0.002409 0.002352 0.002480 0.002528 
0.002501 0.002409 0.002352 0.002480 0.002530 
0.002504 0.002409 0.002353 0.002481 0.002531 
0.002505 0.002409 0.002353 0.002482 0.002531 
0.002506 0.002410 0.002353 0.002482 0.002531 
0.002509 0.002411 0.002353 0.002482 0.002532 
0.002513 0.002411 0.002354 0.002484 0.002532 
0.002523 0.002412 0.002355 0.002484 0.002533 
0.002527 0.002413 0.002355 0.002484 0.002533 
0.002535 0.002413 0.002356 0.002484 0.002534 
0.002535 0.002414 0.002356 0.002484 0.002534 
0.002536 0.002414 0.002356 0.002485 0.002535 
0.002537 0.002414 0.002356 0.002485 0.002535 
0.002552 0.002415 0.002356 0.002486 0.002535 
0.002552 0.002416 0.002356 0.002486 0.002537 
0.002560 0.002416 0.002356 0.002486 0.002537 
0.002568 0.002416 0.002357 0.002486 0.002537 
0.002571 0.002416 0.002358 0.002488 0.002538 
0.002571 0.002417 0.002358 0.002489 0.002539 
0.002574 0.002417 0.002359 0.002489 0.002539 
0.002575 0.002420 0.002359 0.002490 0.002540 
0.002583 0.002423 0.002359 0.002491 0.002542 
0.002587 0.002426 0.002359 0.002492 0.002543 
0.002599 0.002430 0.002360 0.002492 0.002544 
0.002601 0.002436 0.002360 0.002498 0.002548 
0.002601 0.002439 0.002362 0.002503 0.002551 
0.002608 0.002441 0.002364 0.002505 0.002551 
0.002615 0.002444 0.002371 0.002508 0.002552 
0.002617 0.002452 0.002376 0.002515 0.002556 
0.002619 0.002454 0.002381 0.002520 0.002556 
0.002628 0.002457 0.002383 0.002521 0.002576 
0.002652 0.002458 0.002385 0.002522 0.002581 
0.002667 0.002460 0.002389 0.002531 0.002589 
0.002676 0.002461 0.002397 0.002533 0.002593 
0.002678 0.002466 0.002405 0.002536 0.002600 
0.002684 0.002466 0.002416 0.002539 0.002610 
0.002686 0.002467 0.002421 0.002539 0.002613 
0.002694 0.002484 0.002427 0.002545 0.002619 
0.002700 0.002485 0.002430 0.002549 0.002619 
0.002815 0.002487 0.002431 0.002551 0.002619 
0.002988 0.002492 0.002434 0.002591 0.002620 
0.002989 0.002492 0.002461 0.002667 0.002669 
0.002990 0.002905 0.002843 0.002977 0.003014 
0.002991 0.002908 0.002847 0.002977 0.003016 
0.002992 0.002908 0.002847 0.002978 0.003020 
0.002992 0.002909 0.002848 0.002983 0.003021 
0.002994 0.002909 0.002850 0.002983 0.003021 
0.002996 0.002909 0.002851 0.002984 0.003023 
0.002996 0.002910 0.002851 0.002984 0.003027 
0.003000 0.002911 0.002851 0.002985 0.003027 
0.003000 0.002911 0.002851 0.002987 0.003027 
0.003007 0.002911 0.002852 0.002990 0.003028 
0.003018 0.002911 0.002852 0.002990 0.003028 
0.003022 0.002913 0.002853 0.002991 0.003029 
0.003030 0.002913 0.002853 0.002992 0.003030 
0.003030 0.002913 0.002854 0.002992 0.003030 
0.003039 0.002914 0.002854 0.002992 0.003031 
0.003044 0.002915 0.002855 0.002994 0.003032 
0.003052 0.002915 0.002856 0.002994 0.003032 
0.003059 0.002916 0.002857 0.002994 0.003032 
0.003059 0.002917 0.002858 0.002995 0.003033 
0.003066 0.002917 0.002859 0.002995 0.003033 
0.003068 0.002917 0.002859 0.002996 0.003034 
0.003079 0.002918 0.002861 0.002998 0.003034 
0.003084 0.002918 0.002863 0.002999 0.003034 
0.003085 0.002918 0.002864 0.003000 0.003034 
0.003086 0.002918 0.002864 0.003000 0.003036 
0.003087 0.002919 0.002881 0.003001 0.003036 
0.003092 0.002922 0.002882 0.003002 0.003038 
0.003105 0.002923 0.002885 0.003005 0.003039 
0.003112 0.002927 0.002887 0.003006 0.003041 
0.003125 0.002931 0.002889 0.003006 0.003043 
0.003146 0.002935 0.002891 0.003007 0.003044 
0.003148 0.002936 0.002894 0.003007 0.003046 
0.003153 0.002940 0.002897 0.003008 0.003047 
0.003155 0.002948 0.002898 0.003011 0.003057 
0.003174 0.002949 0.002907 0.003014 0.003058 
0.003175 0.002958 0.002908 0.003024 0.003061 
0.003253 0.002958 0.002911 0.003025 0.003065 
0.003256 0.002962 0.002912 0.003030 0.003067 
0.003266 0.002965 0.002913 0.003031 0.003068 
0.003277 0.002970 0.002914 0.003038 0.003078 
0.003290 0.002973 0.002917 0.003038 0.003079 
0.003304 0.002975 0.002918 0.003041 0.003086 
0.003307 0.002977 0.002921 0.003043 0.003090 
0.003348 0.002986 0.002922 0.003043 0.003090 
0.003440 0.002988 0.002924 0.003047 0.003103 
0.004062 0.003005 0.002932 0.003047 0.003118 
0.004229 0.003007 0.002932 0.003055 0.003133 
0.004428 0.003014 0.002934 0.003056 0.003158 
0.006168 0.003016 0.002946 0.003121 0.003184 
0.009011 0.003513 0.003436 0.003629 0.003600 

