#std std_nospill safe safe_nospill data simplified 
0.031029 0.027052 0.034689 0.033748 0.029384 0.033749 
0.031047 0.027071 0.034694 0.033750 0.029387 0.033750 
0.031050 0.027076 0.034699 0.033758 0.029390 0.033752 
0.031054 0.027076 0.034699 0.033758 0.029391 0.033753 
0.031054 0.027079 0.034699 0.033760 0.029395 0.033756 
0.031056 0.027082 0.034700 0.033761 0.029397 0.033759 
0.031064 0.027083 0.034702 0.033761 0.029399 0.033765 
0.031071 0.027086 0.034705 0.033763 0.029399 0.033766 
0.031074 0.027088 0.034709 0.033766 0.029400 0.033767 
0.031076 0.027089 0.034714 0.033766 0.029400 0.033768 
0.031078 0.027091 0.034719 0.033767 0.029400 0.033770 
0.031078 0.027092 0.034720 0.033768 0.029402 0.033771 
0.031079 0.027093 0.034720 0.033771 0.029402 0.033771 
0.031083 0.027093 0.034721 0.033772 0.029404 0.033771 
0.031084 0.027093 0.034723 0.033775 0.029405 0.033771 
0.031085 0.027097 0.034723 0.033776 0.029409 0.033775 
0.031085 0.027099 0.034723 0.033778 0.029409 0.033776 
0.031087 0.027100 0.034724 0.033779 0.029412 0.033777 
0.031090 0.027103 0.034727 0.033780 0.029412 0.033777 
0.031092 0.027104 0.034727 0.033781 0.029413 0.033779 
0.031092 0.027104 0.034728 0.033782 0.029413 0.033783 
0.031095 0.027104 0.034730 0.033784 0.029414 0.033783 
0.031096 0.027105 0.034733 0.033784 0.029415 0.033783 
0.031098 0.027105 0.034734 0.033784 0.029415 0.033783 
0.031099 0.027105 0.034735 0.033785 0.029415 0.033783 
0.031100 0.027105 0.034736 0.033786 0.029415 0.033783 
0.031101 0.027106 0.034736 0.033787 0.029417 0.033784 
0.031102 0.027106 0.034738 0.033787 0.029417 0.033785 
0.031105 0.027109 0.034739 0.033788 0.029418 0.033785 
0.031105 0.027110 0.034741 0.033788 0.029420 0.033786 
0.031105 0.027111 0.034741 0.033790 0.029420 0.033786 
0.031106 0.027112 0.034743 0.033791 0.029421 0.033787 
0.031108 0.027112 0.034747 0.033792 0.029422 0.033789 
0.031109 0.027113 0.034747 0.033792 0.029423 0.033793 
0.031112 0.027113 0.034747 0.033794 0.029423 0.033794 
0.031112 0.027115 0.034748 0.033797 0.029425 0.033795 
0.031116 0.027115 0.034748 0.033798 0.029425 0.033795 
0.031116 0.027115 0.034750 0.033798 0.029425 0.033797 
0.031122 0.027115 0.034750 0.033800 0.029426 0.033798 
0.031125 0.027115 0.034752 0.033801 0.029427 0.033798 
0.031126 0.027116 0.034752 0.033801 0.029427 0.033800 
0.031128 0.027117 0.034755 0.033807 0.029427 0.033803 
0.031128 0.027117 0.034755 0.033808 0.029429 0.033805 
0.031131 0.027118 0.034756 0.033812 0.029430 0.033807 
0.031133 0.027119 0.034757 0.033813 0.029430 0.033811 
0.031135 0.027119 0.034757 0.033821 0.029432 0.033815 
0.031136 0.027120 0.034758 0.033826 0.029433 0.033819 
0.031138 0.027121 0.034760 0.033829 0.029434 0.033820 
0.031143 0.027124 0.034760 0.033833 0.029441 0.033820 
0.031150 0.027125 0.034763 0.033839 0.029444 0.033822 
0.031152 0.027126 0.034766 0.033840 0.029448 0.033823 
0.031155 0.027128 0.034767 0.033844 0.029452 0.033824 
0.031157 0.027128 0.034767 0.033844 0.029455 0.033826 
0.031159 0.027129 0.034778 0.033848 0.029457 0.033831 
0.031161 0.027129 0.034779 0.033853 0.029457 0.033832 
0.031161 0.027132 0.034780 0.033853 0.029460 0.033838 
0.031162 0.027133 0.034781 0.033857 0.029460 0.033840 
0.031163 0.027135 0.034782 0.033858 0.029461 0.033842 
0.031165 0.027135 0.034782 0.033859 0.029462 0.033844 
0.031165 0.027135 0.034783 0.033859 0.029462 0.033844 
0.031166 0.027138 0.034783 0.033859 0.029463 0.033848 
0.031166 0.027138 0.034787 0.033860 0.029468 0.033849 
0.031168 0.027139 0.034789 0.033862 0.029473 0.033853 
0.031171 0.027143 0.034789 0.033865 0.029476 0.033854 
0.031174 0.027144 0.034792 0.033866 0.029476 0.033854 
0.031175 0.027144 0.034796 0.033870 0.029480 0.033854 
0.031176 0.027146 0.034796 0.033870 0.029484 0.033857 
0.031178 0.027146 0.034798 0.033873 0.029485 0.033857 
0.031180 0.027150 0.034800 0.033874 0.029486 0.033858 
0.031181 0.027154 0.034800 0.033875 0.029486 0.033858 
0.031181 0.027156 0.034802 0.033877 0.029487 0.033860 
0.031181 0.027159 0.034805 0.033877 0.029489 0.033861 
0.031182 0.027161 0.034806 0.033877 0.029490 0.033861 
0.031182 0.027164 0.034806 0.033878 0.029492 0.033862 
0.031183 0.027166 0.034806 0.033881 0.029492 0.033863 
0.031183 0.027167 0.034808 0.033881 0.029493 0.033863 
0.031184 0.027169 0.034808 0.033882 0.029494 0.033864 
0.031185 0.027171 0.034809 0.033884 0.029496 0.033865 
0.031185 0.027171 0.034810 0.033884 0.029496 0.033865 
0.031186 0.027171 0.034810 0.033887 0.029501 0.033868 
0.031186 0.027172 0.034811 0.033887 0.029502 0.033872 
0.031188 0.027174 0.034812 0.033888 0.029503 0.033872 
0.031189 0.027178 0.034814 0.033888 0.029506 0.033874 
0.031190 0.027181 0.034815 0.033889 0.029508 0.033874 
0.031191 0.027182 0.034816 0.033890 0.029510 0.033875 
0.031191 0.027183 0.034817 0.033891 0.029511 0.033877 
