#std std_nospill safe safe_nospill data simplified 
1.908424 1.806998 1.910660 1.840354 1.796759 1.838956 
1.909166 1.807639 1.911253 1.840487 1.801468 1.840740 
1.909216 1.807821 1.911265 1.840563 1.801515 1.841156 
1.909290 1.807880 1.911279 1.840728 1.801547 1.841258 
1.909343 1.807897 1.911353 1.840766 1.801562 1.841601 
1.909397 1.807909 1.911369 1.840790 1.801785 1.841617 
1.909564 1.807926 1.911382 1.840817 1.801957 1.841672 
1.909597 1.807927 1.911546 1.840894 1.802020 1.841674 
1.909601 1.807969 1.911594 1.840935 1.802043 1.841721 
1.909770 1.808149 1.911619 1.840990 1.802209 1.841768 
1.909859 1.808150 1.911644 1.841031 1.802293 1.841785 
1.909923 1.808168 1.911669 1.841035 1.802313 1.841838 
1.910089 1.808188 1.911670 1.841053 1.802344 1.841864 
1.910124 1.808243 1.911680 1.841058 1.802354 1.841918 
1.910266 1.808262 1.911777 1.841062 1.802437 1.841923 
1.910483 1.808299 1.911816 1.841063 1.802464 1.841967 
1.910513 1.808321 1.911818 1.841085 1.802477 1.842013 
1.910513 1.808324 1.911864 1.841104 1.802550 1.842072 
1.910558 1.808337 1.911872 1.841127 1.802572 1.842089 
1.910578 1.808365 1.911876 1.841194 1.802619 1.842136 
1.910633 1.808390 1.911903 1.841201 1.802626 1.842138 
1.910696 1.808395 1.912005 1.841214 1.802631 1.842168 
1.910748 1.808396 1.912011 1.841242 1.802653 1.842173 
1.910764 1.808443 1.912019 1.841257 1.802657 1.842197 
1.910772 1.808444 1.912019 1.841296 1.802659 1.842204 
1.910836 1.808464 1.912020 1.841298 1.802694 1.842208 
1.910870 1.808486 1.912055 1.841300 1.802758 1.842214 
1.910905 1.808514 1.912076 1.841302 1.802765 1.842236 
1.911048 1.808517 1.912101 1.841311 1.802781 1.842250 
1.911077 1.808565 1.912114 1.841321 1.802793 1.842275 
1.911196 1.808567 1.912114 1.841339 1.802860 1.842290 
1.911237 1.808584 1.912119 1.841348 1.802884 1.842291 
1.911251 1.808598 1.912163 1.841348 1.802901 1.842302 
1.911339 1.808604 1.912170 1.841358 1.802915 1.842327 
1.911355 1.808622 1.912179 1.841358 1.802919 1.842328 
1.911364 1.808642 1.912240 1.841368 1.802920 1.842333 
1.911368 1.808665 1.912254 1.841378 1.802924 1.842334 
1.911381 1.808719 1.912277 1.841394 1.802927 1.842353 
1.911381 1.808735 1.912281 1.841405 1.802932 1.842368 
1.911408 1.808758 1.912289 1.841408 1.802959 1.842388 
1.911422 1.808760 1.912289 1.841443 1.802972 1.842403 
1.911427 1.808768 1.912294 1.841512 1.802976 1.842425 
1.911427 1.808791 1.912294 1.841517 1.802997 1.842449 
1.911454 1.808810 1.912297 1.841538 1.803018 1.842449 
1.911473 1.808818 1.912299 1.841555 1.803029 1.842504 
1.911475 1.808820 1.912303 1.841563 1.803062 1.842562 
1.911500 1.808861 1.912335 1.841576 1.803073 1.842571 
1.911520 1.808872 1.912339 1.841602 1.803078 1.842574 
1.911521 1.808880 1.912342 1.841603 1.803082 1.842584 
1.911532 1.808881 1.912356 1.841616 1.803131 1.842594 
1.911541 1.808911 1.912385 1.841617 1.803140 1.842609 
1.911555 1.808920 1.912406 1.841620 1.803161 1.842615 
1.911555 1.808925 1.912412 1.841622 1.803178 1.842642 
1.911605 1.808926 1.912440 1.841642 1.803186 1.842647 
1.911611 1.808946 1.912445 1.841647 1.803204 1.842665 
1.911615 1.808947 1.912446 1.841655 1.803207 1.842672 
1.911643 1.808952 1.912455 1.841656 1.803268 1.842677 
1.911654 1.808958 1.912457 1.841689 1.803279 1.842680 
1.911676 1.808975 1.912457 1.841694 1.803280 1.842680 
1.911727 1.808980 1.912457 1.841703 1.803294 1.842701 
1.911754 1.808985 1.912477 1.841708 1.803310 1.842716 
1.911757 1.809028 1.912482 1.841717 1.803313 1.842732 
1.911786 1.809031 1.912496 1.841736 1.803339 1.842734 
1.911787 1.809041 1.912507 1.841748 1.803345 1.842738 
1.911809 1.809047 1.912509 1.841756 1.803349 1.842741 
1.911826 1.809056 1.912521 1.841756 1.803353 1.842762 
1.911842 1.809060 1.912530 1.841772 1.803355 1.842765 
1.911877 1.809086 1.912539 1.841773 1.803358 1.842799 
1.911895 1.809103 1.912540 1.841785 1.803378 1.842806 
1.911896 1.809105 1.912544 1.841785 1.803380 1.842807 
1.911898 1.809105 1.912558 1.841798 1.803386 1.842807 
1.911964 1.809111 1.912576 1.841798 1.803393 1.842808 
1.911974 1.809155 1.912597 1.841829 1.803407 1.842816 
1.911995 1.809158 1.912599 1.841830 1.803411 1.842859 
1.912008 1.809159 1.912612 1.841846 1.803440 1.842866 
1.912023 1.809165 1.912628 1.841866 1.803460 1.842887 
1.912047 1.809169 1.912630 1.841872 1.803465 1.842892 
1.912061 1.809172 1.912631 1.841878 1.803472 1.842912 
1.912063 1.809187 1.912646 1.841884 1.803472 1.842919 
1.912071 1.809192 1.912662 1.841889 1.803474 1.842919 
1.912079 1.809198 1.912670 1.841897 1.803478 1.842919 
1.912104 1.809211 1.912681 1.841898 1.803481 1.842939 
1.912125 1.809212 1.912700 1.841904 1.803491 1.842941 
1.912142 1.809212 1.912703 1.841908 1.803517 1.842949 
1.912155 1.809213 1.912708 1.841911 1.803522 1.842954 
1.912174 1.809218 1.912718 1.841912 1.803537 1.842956 
1.912183 1.809233 1.912723 1.841913 1.803543 1.842960 
1.912186 1.809235 1.912732 1.841918 1.803549 1.842965 
1.912188 1.809247 1.912784 1.841942 1.803550 1.842978 
1.912203 1.809254 1.912792 1.841942 1.803551 1.843002 
1.912208 1.809265 1.912807 1.841958 1.803554 1.843026 
