#std std_nospill safe safe_nospill data simplified 
0.140954 0.139822 0.144032 0.144055 0.140630 0.142468 
0.140962 0.139875 0.144104 0.144094 0.140682 0.142476 
0.140998 0.139940 0.144137 0.144120 0.140789 0.142505 
0.141035 0.139952 0.144165 0.144122 0.140792 0.142505 
0.141039 0.139970 0.144165 0.144123 0.140812 0.142507 
0.141057 0.139997 0.144182 0.144167 0.140833 0.142545 
0.141065 0.140011 0.144185 0.144175 0.140874 0.142557 
0.141071 0.140014 0.144190 0.144184 0.140885 0.142569 
0.141081 0.140014 0.144207 0.144188 0.140890 0.142577 
0.141091 0.140015 0.144210 0.144190 0.140906 0.142583 
0.141099 0.140020 0.144217 0.144200 0.140908 0.142583 
0.141114 0.140023 0.144222 0.144202 0.140917 0.142590 
0.141121 0.140040 0.144223 0.144205 0.140921 0.142591 
0.141128 0.140041 0.144239 0.144209 0.140924 0.142600 
0.141146 0.140043 0.144252 0.144212 0.140948 0.142624 
0.141148 0.140046 0.144254 0.144222 0.140953 0.142628 
0.141150 0.140048 0.144254 0.144229 0.140955 0.142629 
0.141151 0.140048 0.144259 0.144230 0.140962 0.142630 
0.141153 0.140052 0.144277 0.144231 0.140971 0.142631 
0.141157 0.140055 0.144279 0.144234 0.140973 0.142645 
0.141158 0.140058 0.144281 0.144236 0.140974 0.142659 
0.141163 0.140061 0.144292 0.144241 0.140975 0.142663 
0.141173 0.140062 0.144293 0.144245 0.140979 0.142668 
0.141183 0.140066 0.144293 0.144251 0.140984 0.142671 
0.141183 0.140068 0.144295 0.144254 0.140985 0.142673 
0.141190 0.140068 0.144296 0.144254 0.140986 0.142676 
0.141192 0.140069 0.144299 0.144257 0.140991 0.142680 
0.141194 0.140071 0.144301 0.144259 0.140992 0.142682 
0.141198 0.140072 0.144301 0.144270 0.140996 0.142682 
0.141199 0.140077 0.144303 0.144272 0.140996 0.142683 
0.141201 0.140079 0.144313 0.144273 0.140999 0.142683 
0.141202 0.140081 0.144315 0.144276 0.141011 0.142684 
0.141204 0.140082 0.144316 0.144277 0.141013 0.142692 
0.141205 0.140089 0.144317 0.144278 0.141013 0.142695 
0.141208 0.140089 0.144320 0.144279 0.141014 0.142698 
0.141210 0.140091 0.144322 0.144280 0.141017 0.142700 
0.141217 0.140093 0.144322 0.144280 0.141019 0.142707 
0.141221 0.140097 0.144322 0.144286 0.141029 0.142709 
0.141223 0.140098 0.144323 0.144286 0.141030 0.142709 
0.141230 0.140098 0.144328 0.144287 0.141034 0.142713 
0.141239 0.140100 0.144331 0.144289 0.141034 0.142715 
0.141240 0.140100 0.144333 0.144289 0.141035 0.142717 
0.141240 0.140105 0.144338 0.144290 0.141036 0.142717 
0.141246 0.140105 0.144339 0.144292 0.141038 0.142722 
0.141248 0.140106 0.144341 0.144292 0.141041 0.142727 
0.141249 0.140111 0.144342 0.144292 0.141043 0.142730 
