#std std_nospill safe safe_nospill data simplified 
1.221460 1.140121 1.454965 1.425300 1.158116 1.179492 
1.221531 1.140299 1.455030 1.429012 1.158237 1.180909 
1.222076 1.140319 1.455087 1.429123 1.158405 1.181076 
1.222255 1.140358 1.455159 1.429544 1.158653 1.181135 
1.222342 1.140360 1.455547 1.429730 1.158773 1.181275 
1.222342 1.140373 1.455745 1.430031 1.158818 1.181281 
1.222763 1.140375 1.455798 1.430182 1.159233 1.181309 
1.222947 1.140383 1.455903 1.430887 1.159390 1.181331 
1.223200 1.140405 1.455919 1.431289 1.159550 1.181333 
1.223257 1.140424 1.455953 1.431304 1.159591 1.181374 
1.223273 1.140431 1.456006 1.431314 1.159603 1.181397 
1.223305 1.140504 1.456050 1.431415 1.159652 1.181409 
1.223473 1.140510 1.456137 1.432048 1.159745 1.181421 
1.223481 1.140538 1.456205 1.432353 1.159766 1.181441 
1.223578 1.140542 1.456230 1.432390 1.159815 1.181447 
1.223585 1.140562 1.456248 1.432478 1.159834 1.181451 
1.223590 1.140569 1.456253 1.432618 1.159930 1.181453 
1.223597 1.140572 1.456259 1.432667 1.159974 1.181462 
1.223695 1.140580 1.456260 1.432673 1.160034 1.181466 
1.223731 1.140580 1.456299 1.432796 1.160241 1.181469 
1.223735 1.140592 1.456304 1.432931 1.160282 1.181476 
1.223750 1.140631 1.456314 1.433063 1.160287 1.181478 
1.223798 1.140649 1.456397 1.433109 1.160342 1.181478 
1.223882 1.140660 1.456415 1.433122 1.160353 1.181483 
1.223968 1.140666 1.456487 1.433181 1.160375 1.181486 
1.224066 1.140669 1.456684 1.433390 1.160489 1.181492 
1.224148 1.140697 1.456714 1.433503 1.160654 1.181505 
1.224154 1.140699 1.456715 1.433577 1.160880 1.181510 
1.224164 1.140704 1.456755 1.433583 1.160893 1.181511 
1.224202 1.140707 1.456787 1.433609 1.160927 1.181529 
1.224223 1.140711 1.456839 1.433612 1.160983 1.181531 
1.224273 1.140719 1.456913 1.433736 1.161032 1.181541 
1.224278 1.140720 1.456941 1.433868 1.161073 1.181542 
1.224289 1.140728 1.456942 1.433923 1.161190 1.181542 
1.224300 1.140729 1.456945 1.433940 1.161253 1.181558 
1.224312 1.140745 1.456948 1.434016 1.161517 1.181561 
1.224348 1.140756 1.457011 1.434034 1.161525 1.181573 
1.224484 1.140756 1.457025 1.434208 1.161530 1.181590 
1.224574 1.140778 1.457029 1.434300 1.161549 1.181595 
1.224600 1.140785 1.457030 1.434302 1.161575 1.181599 
1.224620 1.140791 1.457061 1.434365 1.161585 1.181604 
1.224626 1.140793 1.457088 1.434556 1.161591 1.181612 
1.224632 1.140815 1.457113 1.434602 1.161637 1.181614 
1.224632 1.140818 1.457114 1.434645 1.161690 1.181623 
1.224647 1.140818 1.457145 1.434667 1.161764 1.181643 
1.224672 1.140823 1.457170 1.434688 1.161834 1.181645 
1.224698 1.140838 1.457177 1.434723 1.161870 1.181653 
1.224729 1.140850 1.457178 1.434725 1.161930 1.181665 
1.224749 1.140864 1.457182 1.434856 1.162006 1.181669 
1.224819 1.140870 1.457210 1.434930 1.162020 1.181685 
1.224842 1.140888 1.457212 1.434944 1.162038 1.181686 
1.224854 1.140892 1.457217 1.435000 1.162041 1.181688 
1.224876 1.140903 1.457221 1.435059 1.162082 1.181712 
1.224898 1.140906 1.457248 1.435068 1.162140 1.181722 
1.224936 1.140912 1.457269 1.435114 1.162226 1.181723 
1.224953 1.140915 1.457355 1.435125 1.162263 1.181734 
1.225006 1.140916 1.457359 1.435138 1.162288 1.181740 
1.225017 1.140927 1.457370 1.435146 1.162312 1.181746 
1.225025 1.140942 1.457449 1.435160 1.162328 1.181756 
1.225026 1.140948 1.457459 1.435162 1.162354 1.181759 
1.225043 1.140951 1.457483 1.435176 1.162366 1.181763 
1.225048 1.140955 1.457492 1.435229 1.162422 1.181770 
1.225079 1.140958 1.457524 1.435232 1.162588 1.181777 
1.225084 1.140968 1.457538 1.435315 1.162634 1.181789 
1.225115 1.140975 1.457539 1.435364 1.162721 1.181792 
1.225137 1.140977 1.457554 1.435367 1.162807 1.181795 
1.225158 1.140994 1.457555 1.435379 1.162808 1.181796 
1.225205 1.141001 1.457584 1.435460 1.162809 1.181796 
1.225284 1.141015 1.457588 1.435516 1.162811 1.181800 
1.225297 1.141016 1.457627 1.435527 1.162859 1.181801 
1.225320 1.141017 1.457640 1.435689 1.162877 1.181809 
1.225351 1.141031 1.457644 1.435784 1.162937 1.181809 
1.225352 1.141032 1.457665 1.435784 1.162943 1.181810 
1.225364 1.141042 1.457667 1.435813 1.162952 1.181817 
1.225404 1.141044 1.457689 1.435830 1.162957 1.181823 
1.225423 1.141063 1.457713 1.435840 1.162999 1.181823 
1.225462 1.141069 1.457714 1.435863 1.163002 1.181824 
1.225473 1.141071 1.457721 1.435910 1.163121 1.181824 
1.225478 1.141071 1.457730 1.435935 1.163140 1.181825 
1.225484 1.141074 1.457754 1.435991 1.163144 1.181828 
1.225518 1.141078 1.457755 1.435997 1.163146 1.181829 
1.225520 1.141079 1.457801 1.436098 1.163155 1.181830 
1.225526 1.141090 1.457817 1.436179 1.163165 1.181837 
1.225541 1.141109 1.457830 1.436193 1.163167 1.181838 
1.225584 1.141111 1.457843 1.436218 1.163185 1.181839 
1.225585 1.141111 1.457845 1.436220 1.163296 1.181839 
1.225593 1.141111 1.457868 1.436255 1.163355 1.181840 
1.225598 1.141133 1.457871 1.436268 1.163501 1.181847 
1.225607 1.141144 1.457908 1.436292 1.163508 1.181861 
1.225607 1.141148 1.457912 1.436299 1.163535 1.181861 
1.225621 1.141150 1.457940 1.436350 1.163583 1.181862 
1.225665 1.141155 1.457961 1.436360 1.163625 1.181867 
1.225667 1.141155 1.457982 1.436374 1.163627 1.181870 
1.225701 1.141157 1.457983 1.436399 1.163648 1.181871 
1.225704 1.141160 1.457999 1.436545 1.163674 1.181874 
1.225712 1.141169 1.458019 1.436590 1.163685 1.181880 
1.225726 1.141185 1.458056 1.436627 1.163693 1.181884 
1.225741 1.141188 1.458061 1.436728 1.163751 1.181892 
1.225742 1.141191 1.458098 1.436743 1.163761 1.181893 
1.225750 1.141192 1.458105 1.436769 1.163853 1.181894 
1.225772 1.141193 1.458126 1.436784 1.163856 1.181894 
1.225801 1.141195 1.458151 1.436814 1.163863 1.181900 
1.225831 1.141201 1.458168 1.436840 1.163883 1.181902 
1.225832 1.141210 1.458189 1.436868 1.163887 1.181903 
1.225834 1.141217 1.458216 1.436885 1.163890 1.181904 
1.225838 1.141217 1.458246 1.436898 1.163894 1.181907 
1.225845 1.141218 1.458273 1.436905 1.163934 1.181908 
1.225918 1.141226 1.458290 1.436924 1.163961 1.181910 
1.225926 1.141229 1.458293 1.436932 1.164006 1.181912 
1.225940 1.141234 1.458293 1.437042 1.164040 1.181912 
1.225966 1.141235 1.458304 1.437047 1.164055 1.181918 
1.225976 1.141238 1.458317 1.437067 1.164062 1.181918 
1.225983 1.141241 1.458317 1.437125 1.164065 1.181919 
1.225990 1.141248 1.458327 1.437150 1.164128 1.181923 
1.226000 1.141258 1.458344 1.437266 1.164135 1.181926 
1.226023 1.141258 1.458346 1.437335 1.164148 1.181926 
1.226032 1.141259 1.458351 1.437358 1.164159 1.181933 
1.226053 1.141261 1.458375 1.437419 1.164169 1.181934 
1.226153 1.141266 1.458378 1.437429 1.164179 1.181936 
1.226162 1.141269 1.458392 1.437468 1.164192 1.181936 
1.226164 1.141270 1.458413 1.437480 1.164208 1.181937 
1.226169 1.141277 1.458485 1.437522 1.164228 1.181939 
1.226176 1.141277 1.458486 1.437578 1.164230 1.181942 
1.226188 1.141281 1.458492 1.437629 1.164252 1.181943 
1.226219 1.141282 1.458500 1.437647 1.164292 1.181944 
1.226230 1.141287 1.458503 1.437661 1.164301 1.181950 
1.226238 1.141291 1.458520 1.437702 1.164305 1.181952 
1.226270 1.141310 1.458529 1.437717 1.164331 1.181953 
1.226287 1.141315 1.458544 1.437717 1.164335 1.181953 
1.226296 1.141316 1.458555 1.437722 1.164341 1.181954 
1.226301 1.141319 1.458566 1.437724 1.164383 1.181954 
1.226313 1.141322 1.458566 1.437775 1.164389 1.181954 
1.226318 1.141324 1.458578 1.437783 1.164403 1.181956 
1.226353 1.141325 1.458597 1.437803 1.164420 1.181958 
1.226375 1.141330 1.458619 1.437822 1.164423 1.181960 
1.226385 1.141338 1.458621 1.437845 1.164451 1.181961 
1.226402 1.141341 1.458637 1.437855 1.164454 1.181962 
1.226423 1.141342 1.458644 1.437855 1.164459 1.181965 
1.226431 1.141352 1.458648 1.437871 1.164513 1.181971 
1.226435 1.141361 1.458657 1.437882 1.164532 1.181971 
1.226451 1.141368 1.458681 1.437896 1.164556 1.181976 
1.226516 1.141371 1.458695 1.437949 1.164589 1.181976 
1.226531 1.141375 1.458699 1.437984 1.164618 1.181977 
1.226532 1.141377 1.458719 1.438062 1.164622 1.181977 
1.226541 1.141394 1.458743 1.438105 1.164626 1.181981 
1.226546 1.141394 1.458751 1.438172 1.164640 1.181981 
1.226561 1.141399 1.458763 1.438175 1.164650 1.181981 
1.226569 1.141403 1.458794 1.438183 1.164654 1.181985 
1.226591 1.141404 1.458798 1.438185 1.164661 1.181985 
1.226598 1.141405 1.458815 1.438302 1.164661 1.181990 
1.226601 1.141406 1.458819 1.438320 1.164670 1.181991 
1.226609 1.141414 1.458839 1.438375 1.164703 1.181992 
1.226650 1.141415 1.458841 1.438402 1.164726 1.181993 
1.226652 1.141417 1.458862 1.438408 1.164748 1.181996 
1.226667 1.141417 1.458867 1.438411 1.164767 1.181998 
1.226683 1.141424 1.458871 1.438416 1.164770 1.182001 
1.226689 1.141427 1.458872 1.438421 1.164771 1.182002 
1.226698 1.141432 1.458887 1.438456 1.164774 1.182003 
1.226710 1.141435 1.458888 1.438522 1.164778 1.182007 
1.226715 1.141436 1.458893 1.438544 1.164783 1.182010 
1.226716 1.141441 1.458894 1.438553 1.164791 1.182011 
1.226740 1.141449 1.458902 1.438558 1.164793 1.182012 
1.226742 1.141453 1.458914 1.438563 1.164825 1.182012 
1.226746 1.141461 1.458915 1.438566 1.164841 1.182013 
1.226769 1.141461 1.458919 1.438664 1.164856 1.182016 
1.226790 1.141465 1.458928 1.438686 1.164860 1.182017 
1.226796 1.141469 1.458940 1.438688 1.164870 1.182020 
1.226825 1.141478 1.458944 1.438695 1.164892 1.182022 
1.226846 1.141480 1.458981 1.438702 1.164895 1.182025 
1.226873 1.141480 1.459010 1.438751 1.164905 1.182025 
1.226935 1.141483 1.459026 1.438803 1.164909 1.182025 
1.226963 1.141485 1.459043 1.438811 1.164915 1.182027 
1.226964 1.141485 1.459053 1.438811 1.164940 1.182029 
1.226983 1.141488 1.459071 1.438829 1.164950 1.182030 
1.227004 1.141492 1.459079 1.438916 1.164956 1.182030 
1.227024 1.141493 1.459111 1.438946 1.164963 1.182031 
1.227063 1.141494 1.459125 1.438951 1.165002 1.182033 
1.227081 1.141495 1.459155 1.439013 1.165004 1.182035 
1.227082 1.141495 1.459171 1.439068 1.165017 1.182036 
1.227088 1.141499 1.459174 1.439073 1.165017 1.182036 
1.227094 1.141501 1.459198 1.439084 1.165058 1.182036 
1.227096 1.141515 1.459228 1.439135 1.165082 1.182038 
1.227104 1.141517 1.459234 1.439156 1.165090 1.182038 
1.227132 1.141520 1.459283 1.439166 1.165100 1.182040 
1.227167 1.141530 1.459285 1.439174 1.165104 1.182043 
1.227171 1.141531 1.459336 1.439187 1.165105 1.182045 
1.227174 1.141534 1.459344 1.439218 1.165107 1.182046 
1.227189 1.141537 1.459359 1.439219 1.165146 1.182049 
1.227191 1.141544 1.459365 1.439238 1.165150 1.182050 
1.227207 1.141545 1.459384 1.439239 1.165164 1.182053 
1.227229 1.141549 1.459386 1.439251 1.165221 1.182053 
1.227229 1.141558 1.459427 1.439264 1.165223 1.182053 
1.227241 1.141562 1.459444 1.439267 1.165224 1.182054 
1.227243 1.141563 1.459467 1.439284 1.165227 1.182057 
1.227245 1.141566 1.459470 1.439300 1.165240 1.182057 
1.227254 1.141568 1.459492 1.439319 1.165253 1.182060 
1.227260 1.141570 1.459499 1.439334 1.165257 1.182062 
1.227263 1.141576 1.459516 1.439334 1.165272 1.182063 
1.227288 1.141583 1.459518 1.439352 1.165277 1.182064 
1.227311 1.141585 1.459544 1.439401 1.165322 1.182064 
1.227322 1.141585 1.459545 1.439428 1.165348 1.182067 
1.227332 1.141597 1.459550 1.439443 1.165364 1.182071 
1.227333 1.141601 1.459555 1.439460 1.165395 1.182072 
1.227339 1.141603 1.459582 1.439486 1.165418 1.182077 
1.227366 1.141607 1.459592 1.439489 1.165438 1.182079 
1.227368 1.141609 1.459594 1.439513 1.165496 1.182079 
1.227378 1.141613 1.459599 1.439601 1.165511 1.182079 
1.227378 1.141614 1.459611 1.439613 1.165521 1.182081 
1.227382 1.141619 1.459637 1.439622 1.165529 1.182085 
1.227392 1.141625 1.459646 1.439629 1.165530 1.182088 
1.227393 1.141626 1.459659 1.439681 1.165531 1.182088 
1.227399 1.141627 1.459663 1.439691 1.165542 1.182093 
1.227399 1.141635 1.459665 1.439719 1.165570 1.182094 
1.227405 1.141638 1.459668 1.439740 1.165572 1.182095 
1.227438 1.141638 1.459673 1.439761 1.165588 1.182096 
1.227457 1.141648 1.459677 1.439807 1.165600 1.182097 
1.227459 1.141651 1.459685 1.439817 1.165604 1.182099 
1.227463 1.141656 1.459688 1.439858 1.165614 1.182099 
1.227468 1.141657 1.459699 1.439895 1.165635 1.182104 
1.227476 1.141665 1.459714 1.439945 1.165647 1.182104 
1.227484 1.141667 1.459722 1.439962 1.165673 1.182107 
1.227499 1.141668 1.459728 1.439973 1.165682 1.182108 
1.227504 1.141673 1.459736 1.440020 1.165703 1.182108 
1.227511 1.141676 1.459746 1.440024 1.165707 1.182109 
1.227515 1.141676 1.459761 1.440039 1.165711 1.182111 
1.227516 1.141688 1.459792 1.440050 1.165741 1.182116 
1.227546 1.141689 1.459795 1.440050 1.165752 1.182117 
1.227550 1.141693 1.459797 1.440063 1.165776 1.182120 
1.227575 1.141697 1.459824 1.440099 1.165777 1.182121 
1.227582 1.141712 1.459829 1.440103 1.165784 1.182124 
1.227592 1.141716 1.459856 1.440105 1.165830 1.182124 
1.227609 1.141724 1.459862 1.440106 1.165832 1.182125 
1.227611 1.141728 1.459870 1.440117 1.165848 1.182125 
1.227612 1.141729 1.459872 1.440135 1.165865 1.182127 
1.227625 1.141730 1.459902 1.440140 1.165866 1.182127 
1.227629 1.141732 1.459902 1.440148 1.165935 1.182129 
1.227649 1.141732 1.459921 1.440159 1.165957 1.182130 
1.227651 1.141736 1.459963 1.440171 1.165985 1.182132 
1.227663 1.141738 1.459965 1.440173 1.166001 1.182133 
1.227665 1.141738 1.459994 1.440179 1.166006 1.182136 
1.227668 1.141738 1.460009 1.440199 1.166013 1.182136 
1.227674 1.141748 1.460011 1.440199 1.166017 1.182137 
1.227675 1.141752 1.460014 1.440249 1.166019 1.182140 
1.227681 1.141753 1.460034 1.440293 1.166022 1.182147 
1.227706 1.141759 1.460040 1.440301 1.166022 1.182150 
1.227713 1.141762 1.460045 1.440327 1.166023 1.182150 
1.227738 1.141768 1.460074 1.440355 1.166064 1.182151 
1.227744 1.141768 1.460085 1.440358 1.166069 1.182151 
1.227748 1.141771 1.460088 1.440395 1.166075 1.182154 
1.227753 1.141773 1.460107 1.440419 1.166088 1.182156 
1.227767 1.141779 1.460131 1.440427 1.166092 1.182160 
1.227804 1.141780 1.460138 1.440508 1.166096 1.182161 
1.227815 1.141783 1.460182 1.440534 1.166112 1.182163 
1.227831 1.141783 1.460209 1.440540 1.166113 1.182167 
1.227866 1.141792 1.460218 1.440557 1.166115 1.182169 
1.227883 1.141797 1.460225 1.440575 1.166123 1.182172 
1.227889 1.141800 1.460228 1.440595 1.166125 1.182177 
1.227921 1.141802 1.460246 1.440598 1.166135 1.182177 
1.227929 1.141810 1.460254 1.440610 1.166147 1.182178 
1.227933 1.141810 1.460267 1.440639 1.166165 1.182178 
1.227936 1.141818 1.460270 1.440646 1.166168 1.182179 
1.227948 1.141819 1.460303 1.440665 1.166173 1.182179 
1.227954 1.141819 1.460337 1.440686 1.166173 1.182180 
1.227958 1.141820 1.460340 1.440692 1.166191 1.182180 
1.227959 1.141825 1.460364 1.440693 1.166241 1.182182 
1.227969 1.141825 1.460364 1.440721 1.166241 1.182185 
1.227990 1.141828 1.460373 1.440721 1.166243 1.182186 
1.227991 1.141829 1.460376 1.440750 1.166259 1.182186 
1.227999 1.141833 1.460393 1.440776 1.166273 1.182190 
1.227999 1.141837 1.460415 1.440868 1.166278 1.182191 
1.228011 1.141838 1.460488 1.440875 1.166284 1.182191 
1.228021 1.141838 1.460524 1.440912 1.166301 1.182195 
1.228022 1.141845 1.460525 1.440918 1.166307 1.182195 
1.228036 1.141847 1.460531 1.440944 1.166316 1.182196 
1.228039 1.141853 1.460533 1.440958 1.166326 1.182201 
1.228045 1.141858 1.460554 1.440999 1.166338 1.182205 
1.228046 1.141858 1.460555 1.441017 1.166342 1.182206 
1.228047 1.141859 1.460559 1.441044 1.166352 1.182207 
1.228050 1.141862 1.460585 1.441049 1.166368 1.182208 
1.228057 1.141864 1.460684 1.441067 1.166380 1.182212 
1.228063 1.141865 1.460724 1.441070 1.166390 1.182213 
1.228073 1.141866 1.460738 1.441077 1.166399 1.182213 
1.228083 1.141867 1.460774 1.441115 1.166406 1.182218 
1.228088 1.141868 1.460782 1.441120 1.166420 1.182221 
1.228091 1.141870 1.460783 1.441137 1.166423 1.182223 
1.228102 1.141875 1.460798 1.441138 1.166426 1.182225 
1.228115 1.141882 1.460804 1.441171 1.166448 1.182225 
1.228116 1.141887 1.460805 1.441172 1.166467 1.182225 
1.228159 1.141888 1.460821 1.441237 1.166478 1.182226 
1.228165 1.141890 1.460824 1.441244 1.166482 1.182227 
1.228174 1.141895 1.460830 1.441252 1.166482 1.182232 
1.228185 1.141896 1.460840 1.441263 1.166497 1.182234 
1.228197 1.141896 1.460842 1.441266 1.166498 1.182240 
1.228226 1.141901 1.460847 1.441269 1.166507 1.182241 
1.228233 1.141903 1.460848 1.441281 1.166511 1.182241 
1.228244 1.141906 1.460848 1.441287 1.166513 1.182242 
1.228248 1.141912 1.460875 1.441293 1.166514 1.182242 
1.228265 1.141913 1.460901 1.441330 1.166518 1.182244 
1.228279 1.141913 1.460911 1.441336 1.166524 1.182244 
1.228307 1.141914 1.460917 1.441342 1.166575 1.182245 
1.228361 1.141924 1.460924 1.441354 1.166582 1.182248 
1.228365 1.141926 1.460937 1.441369 1.166586 1.182249 
1.228381 1.141931 1.460944 1.441371 1.166631 1.182252 
1.228393 1.141935 1.460953 1.441385 1.166634 1.182253 
1.228393 1.141936 1.460958 1.441417 1.166637 1.182253 
1.228417 1.141941 1.460970 1.441427 1.166641 1.182254 
1.228419 1.141941 1.461091 1.441483 1.166651 1.182254 
1.228432 1.141944 1.461097 1.441537 1.166652 1.182256 
1.228433 1.141949 1.461116 1.441575 1.166654 1.182259 
1.228453 1.141951 1.461127 1.441597 1.166669 1.182261 
1.228479 1.141954 1.461131 1.441640 1.166680 1.182261 
1.228492 1.141967 1.461153 1.441644 1.166717 1.182263 
1.228493 1.141971 1.461173 1.441655 1.166725 1.182265 
1.228502 1.141972 1.461177 1.441660 1.166736 1.182268 
1.228524 1.141977 1.461213 1.441661 1.166742 1.182268 
1.228528 1.141980 1.461217 1.441667 1.166744 1.182269 
1.228531 1.141981 1.461217 1.441674 1.166752 1.182270 
1.228538 1.141981 1.461225 1.441692 1.166799 1.182272 
1.228541 1.141987 1.461248 1.441697 1.166811 1.182276 
1.228545 1.141988 1.461285 1.441742 1.166828 1.182279 
1.228552 1.141992 1.461286 1.441811 1.166830 1.182279 
1.228553 1.141992 1.461316 1.441837 1.166847 1.182279 
1.228558 1.142002 1.461324 1.441879 1.166858 1.182280 
1.228563 1.142006 1.461348 1.441886 1.166859 1.182284 
1.228580 1.142019 1.461380 1.441898 1.166892 1.182286 
1.228625 1.142019 1.461393 1.441909 1.166939 1.182287 
1.228638 1.142026 1.461395 1.441913 1.166949 1.182288 
1.228638 1.142031 1.461404 1.441915 1.166957 1.182291 
1.228644 1.142032 1.461464 1.441917 1.166966 1.182291 
1.228670 1.142038 1.461469 1.441932 1.166966 1.182292 
1.228671 1.142039 1.461489 1.441969 1.166967 1.182294 
1.228680 1.142040 1.461508 1.441986 1.166973 1.182295 
1.228697 1.142047 1.461515 1.441987 1.166974 1.182297 
1.228704 1.142048 1.461534 1.441994 1.166988 1.182297 
1.228716 1.142066 1.461537 1.442012 1.167004 1.182298 
1.228740 1.142068 1.461540 1.442019 1.167006 1.182300 
1.228750 1.142078 1.461559 1.442057 1.167010 1.182303 
1.228750 1.142079 1.461561 1.442058 1.167039 1.182304 
1.228759 1.142090 1.461565 1.442069 1.167050 1.182307 
1.228762 1.142100 1.461591 1.442076 1.167052 1.182308 
1.228781 1.142110 1.461592 1.442078 1.167077 1.182309 
1.228811 1.142111 1.461621 1.442095 1.167082 1.182309 
1.228832 1.142113 1.461621 1.442121 1.167082 1.182309 
1.228853 1.142115 1.461652 1.442141 1.167087 1.182313 
1.228853 1.142120 1.461657 1.442142 1.167100 1.182313 
1.228861 1.142122 1.461662 1.442144 1.167102 1.182314 
1.228862 1.142126 1.461670 1.442155 1.167104 1.182314 
1.228866 1.142138 1.461671 1.442165 1.167115 1.182319 
1.228873 1.142140 1.461686 1.442191 1.167125 1.182321 
1.228873 1.142141 1.461721 1.442200 1.167131 1.182323 
1.228881 1.142149 1.461752 1.442240 1.167139 1.182323 
1.228886 1.142150 1.461758 1.442259 1.167151 1.182325 
1.228891 1.142152 1.461789 1.442265 1.167155 1.182327 
1.228907 1.142159 1.461790 1.442286 1.167162 1.182332 
1.228910 1.142162 1.461792 1.442300 1.167166 1.182335 
1.228917 1.142163 1.461826 1.442359 1.167175 1.182336 
1.228927 1.142164 1.461836 1.442363 1.167184 1.182337 
1.228930 1.142166 1.461849 1.442408 1.167238 1.182339 
1.228938 1.142173 1.461854 1.442412 1.167247 1.182339 
1.228944 1.142174 1.461860 1.442434 1.167256 1.182340 
1.228961 1.142175 1.461883 1.442466 1.167283 1.182340 
1.228994 1.142179 1.461911 1.442467 1.167283 1.182342 
1.228998 1.142186 1.461913 1.442470 1.167292 1.182346 
1.229000 1.142193 1.461926 1.442489 1.167293 1.182347 
1.229017 1.142197 1.461950 1.442489 1.167309 1.182351 
1.229027 1.142197 1.461962 1.442506 1.167310 1.182352 
1.229041 1.142199 1.461967 1.442506 1.167324 1.182352 
1.229048 1.142211 1.461982 1.442535 1.167351 1.182353 
1.229057 1.142212 1.461983 1.442538 1.167370 1.182353 
