#std std_nospill safe safe_nospill data simplified 
7.064745 6.416109 8.026799 7.362630 6.376731 6.818084 
7.075924 6.449052 8.027057 7.363138 6.376791 6.819025 
7.077779 6.449902 8.027075 7.363212 6.377240 6.819175 
7.077942 6.451233 8.027251 7.363350 6.377317 6.819226 
7.078319 6.451333 8.027373 7.363727 6.377395 6.819349 
7.078581 6.451384 8.027531 7.363746 6.377484 6.819734 
7.078830 6.451550 8.027534 7.363811 6.377493 6.820167 
7.078869 6.451605 8.027612 7.363937 6.377574 6.820173 
7.078888 6.451736 8.027693 7.364020 6.377732 6.820475 
7.079026 6.451982 8.027707 7.364085 6.377829 6.820533 
7.079327 6.452025 8.027761 7.364185 6.377938 6.820541 
7.079334 6.452045 8.027792 7.364438 6.378101 6.820700 
7.079352 6.452063 8.027937 7.364497 6.378155 6.820705 
7.079389 6.452234 8.027958 7.364717 6.378185 6.820771 
7.079401 6.452249 8.028009 7.364749 6.378219 6.820806 
7.079623 6.452302 8.028048 7.364797 6.378265 6.820837 
7.079655 6.452309 8.028072 7.364807 6.378284 6.820883 
7.079668 6.452313 8.028072 7.365033 6.378289 6.820887 
7.079671 6.452319 8.028245 7.365225 6.378511 6.820963 
7.079753 6.452472 8.028323 7.365225 6.378570 6.820981 
7.079813 6.452484 8.028354 7.365250 6.378612 6.821116 
7.079815 6.452596 8.028425 7.365311 6.378657 6.821265 
7.079867 6.452604 8.028435 7.365346 6.378828 6.821271 
7.079940 6.452668 8.028456 7.365371 6.378887 6.821297 
7.079983 6.452742 8.028543 7.365398 6.378899 6.821298 
7.080070 6.452768 8.028625 7.365403 6.378936 6.821383 
7.080135 6.452776 8.028658 7.365424 6.378997 6.821442 
7.080234 6.452788 8.028692 7.365438 6.379013 6.821464 
7.080236 6.452900 8.028813 7.365584 6.379074 6.821500 
7.080246 6.452938 8.028999 7.365615 6.379078 6.821509 
7.080256 6.452947 8.029056 7.365641 6.379120 6.821520 
7.080329 6.452950 8.029195 7.365669 6.379145 6.821547 
7.080374 6.453010 8.029218 7.365719 6.379222 6.821596 
7.080444 6.453012 8.029243 7.365759 6.379347 6.821670 
7.080445 6.453036 8.029276 7.365814 6.379350 6.821697 
7.080459 6.453081 8.029330 7.365836 6.379353 6.821725 
7.080584 6.453117 8.029344 7.365876 6.379439 6.821736 
7.080601 6.453157 8.029391 7.366057 6.379453 6.821740 
7.080611 6.453227 8.029519 7.366059 6.379459 6.821746 
7.080674 6.453277 8.029528 7.366156 6.379535 6.821821 
7.080706 6.453287 8.029561 7.366179 6.379601 6.821868 
7.080765 6.453291 8.029585 7.366203 6.379683 6.821889 
7.080818 6.453298 8.029624 7.366285 6.379693 6.821934 
7.080820 6.453348 8.029756 7.366319 6.379720 6.821935 
7.080880 6.453402 8.029783 7.366367 6.379757 6.821975 
7.080918 6.453409 8.029793 7.366378 6.379796 6.821986 
7.081015 6.453426 8.029798 7.366393 6.379818 6.821989 
7.081017 6.453430 8.029812 7.366400 6.379838 6.821994 
7.081045 6.453468 8.029820 7.366439 6.379940 6.822012 
7.081055 6.453479 8.029841 7.366472 6.379942 6.822037 
7.081116 6.453489 8.029841 7.366477 6.379951 6.822052 
7.081129 6.453503 8.029888 7.366504 6.379972 6.822117 
7.081150 6.453504 8.029912 7.366525 6.379975 6.822156 
7.081165 6.453548 8.029916 7.366529 6.380000 6.822156 
7.081173 6.453581 8.029931 7.366592 6.380008 6.822184 
7.081223 6.453618 8.029937 7.366654 6.380049 6.822228 
7.081271 6.453659 8.029949 7.366674 6.380070 6.822238 
7.081346 6.453659 8.029952 7.366677 6.380116 6.822264 
7.081391 6.453662 8.029988 7.366748 6.380124 6.822273 
7.081420 6.453692 8.029989 7.366768 6.380160 6.822276 
7.081434 6.453711 8.029995 7.366804 6.380169 6.822296 
7.081441 6.453723 8.030057 7.366815 6.380177 6.822302 
7.081463 6.453731 8.030066 7.366819 6.380189 6.822303 
7.081483 6.453734 8.030071 7.366832 6.380193 6.822308 
7.081512 6.453762 8.030098 7.366861 6.380194 6.822309 
7.081539 6.453768 8.030122 7.366862 6.380235 6.822332 
7.081541 6.453770 8.030130 7.366875 6.380249 6.822339 
7.081547 6.453837 8.030208 7.366883 6.380289 6.822355 
7.081594 6.453857 8.030218 7.366888 6.380366 6.822372 
7.081618 6.453883 8.030288 7.366913 6.380381 6.822386 
7.081632 6.453894 8.030291 7.366921 6.380381 6.822388 
7.081658 6.453914 8.030328 7.366945 6.380398 6.822393 
7.081662 6.453952 8.030330 7.367012 6.380473 6.822471 
7.081686 6.453955 8.030344 7.367013 6.380479 6.822490 
7.081904 6.453967 8.030360 7.367017 6.380548 6.822491 
7.081956 6.453976 8.030383 7.367022 6.380559 6.822526 
7.081984 6.453993 8.030387 7.367038 6.380567 6.822534 
7.082029 6.454003 8.030414 7.367045 6.380572 6.822538 
7.082081 6.454044 8.030450 7.367074 6.380583 6.822571 
