#std std_nospill safe safe_nospill data simplified 
0.000295 0.000270 0.000339 0.000291 0.000283 0.000292 
0.000296 0.000271 0.000340 0.000292 0.000285 0.000292 
0.000296 0.000271 0.000340 0.000292 0.000286 0.000292 
0.000297 0.000272 0.000341 0.000293 0.000287 0.000293 
0.000297 0.000274 0.000342 0.000293 0.000287 0.000294 
0.000297 0.000274 0.000342 0.000293 0.000287 0.000294 
0.000298 0.000274 0.000342 0.000294 0.000287 0.000294 
0.000298 0.000274 0.000342 0.000294 0.000287 0.000294 
0.000298 0.000275 0.000342 0.000294 0.000287 0.000295 
0.000298 0.000275 0.000342 0.000294 0.000287 0.000295 
0.000299 0.000275 0.000343 0.000294 0.000288 0.000295 
0.000300 0.000275 0.000343 0.000294 0.000288 0.000295 
0.000300 0.000275 0.000344 0.000294 0.000288 0.000296 
0.000300 0.000275 0.000344 0.000295 0.000288 0.000296 
0.000300 0.000276 0.000344 0.000295 0.000288 0.000296 
0.000301 0.000276 0.000345 0.000295 0.000289 0.000296 
0.000301 0.000276 0.000346 0.000295 0.000289 0.000296 
0.000302 0.000276 0.000346 0.000295 0.000289 0.000296 
0.000302 0.000276 0.000347 0.000296 0.000290 0.000296 
0.000302 0.000276 0.000347 0.000296 0.000290 0.000297 
0.000302 0.000277 0.000349 0.000296 0.000290 0.000298 
0.000302 0.000277 0.000349 0.000296 0.000290 0.000298 
0.000303 0.000277 0.000349 0.000297 0.000290 0.000298 
0.000304 0.000277 0.000349 0.000298 0.000291 0.000298 
0.000304 0.000277 0.000350 0.000299 0.000291 0.000298 
0.000304 0.000278 0.000350 0.000299 0.000291 0.000299 
0.000305 0.000278 0.000350 0.000301 0.000292 0.000300 
0.000305 0.000278 0.000350 0.000301 0.000292 0.000301 
0.000306 0.000279 0.000350 0.000302 0.000294 0.000302 
0.000306 0.000279 0.000350 0.000302 0.000295 0.000302 
0.000306 0.000280 0.000350 0.000302 0.000295 0.000302 
0.000306 0.000280 0.000351 0.000302 0.000295 0.000303 
0.000307 0.000281 0.000351 0.000302 0.000295 0.000303 
0.000307 0.000281 0.000351 0.000302 0.000295 0.000303 
0.000307 0.000281 0.000351 0.000302 0.000295 0.000304 
0.000307 0.000281 0.000351 0.000302 0.000295 0.000304 
0.000307 0.000281 0.000351 0.000303 0.000296 0.000305 
0.000307 0.000282 0.000351 0.000303 0.000296 0.000305 
0.000308 0.000282 0.000351 0.000303 0.000296 0.000305 
0.000308 0.000282 0.000351 0.000303 0.000296 0.000305 
0.000308 0.000282 0.000351 0.000303 0.000296 0.000305 
0.000308 0.000282 0.000352 0.000303 0.000296 0.000305 
0.000308 0.000282 0.000352 0.000304 0.000296 0.000306 
0.000308 0.000282 0.000352 0.000304 0.000297 0.000306 
0.000309 0.000282 0.000352 0.000304 0.000297 0.000306 
0.000309 0.000282 0.000352 0.000305 0.000297 0.000306 
0.000309 0.000283 0.000352 0.000305 0.000297 0.000306 
0.000309 0.000283 0.000352 0.000305 0.000297 0.000306 
0.000309 0.000284 0.000352 0.000305 0.000297 0.000307 
0.000310 0.000284 0.000352 0.000305 0.000298 0.000307 
0.000310 0.000284 0.000353 0.000305 0.000298 0.000307 
0.000311 0.000284 0.000353 0.000305 0.000298 0.000307 
0.000311 0.000284 0.000353 0.000305 0.000298 0.000307 
0.000311 0.000284 0.000353 0.000306 0.000298 0.000307 
0.000311 0.000285 0.000353 0.000306 0.000298 0.000307 
0.000311 0.000285 0.000353 0.000306 0.000298 0.000307 
0.000312 0.000285 0.000353 0.000306 0.000298 0.000308 
0.000312 0.000285 0.000353 0.000306 0.000298 0.000308 
0.000312 0.000285 0.000354 0.000306 0.000299 0.000308 
0.000312 0.000285 0.000354 0.000306 0.000299 0.000308 
0.000313 0.000285 0.000354 0.000306 0.000299 0.000309 
0.000313 0.000285 0.000355 0.000307 0.000300 0.000309 
0.000313 0.000285 0.000355 0.000307 0.000300 0.000309 
0.000313 0.000286 0.000355 0.000307 0.000300 0.000309 
0.000313 0.000286 0.000355 0.000308 0.000300 0.000309 
0.000314 0.000286 0.000355 0.000308 0.000300 0.000310 
0.000314 0.000286 0.000355 0.000308 0.000301 0.000310 
0.000314 0.000287 0.000356 0.000308 0.000301 0.000310 
0.000316 0.000287 0.000356 0.000309 0.000301 0.000310 
0.000317 0.000287 0.000357 0.000309 0.000301 0.000310 
0.000318 0.000288 0.000357 0.000309 0.000301 0.000311 
0.000319 0.000288 0.000358 0.000309 0.000301 0.000311 
0.000319 0.000288 0.000358 0.000310 0.000302 0.000312 
0.000320 0.000289 0.000358 0.000310 0.000303 0.000312 
0.000320 0.000291 0.000358 0.000310 0.000303 0.000313 
0.000322 0.000292 0.000358 0.000311 0.000304 0.000313 
0.000326 0.000294 0.000358 0.000311 0.000305 0.000314 
0.000326 0.000294 0.000358 0.000311 0.000306 0.000314 
0.000334 0.000297 0.000359 0.000312 0.000308 0.000314 
0.000338 0.000303 0.000361 0.000313 0.000309 0.000316 
0.000354 0.000310 0.000362 0.000313 0.000312 0.000316 
0.000365 0.000312 0.000366 0.000319 0.000321 0.000316 
0.000401 0.000317 0.000369 0.000341 0.000325 0.000318 
0.000411 0.000364 0.000379 0.000390 0.000388 0.000321 
0.000417 0.000383 0.000434 0.000399 0.000402 0.000323 
0.000422 0.000393 0.000452 0.000406 0.000402 0.000399 
0.000422 0.000395 0.000455 0.000414 0.000404 0.000420 
0.000425 0.000397 0.000464 0.000421 0.000411 0.000421 
0.000454 0.000398 0.000467 0.000422 0.000425 0.000427 
0.000482 0.000401 0.000470 0.000433 0.000465 0.000431 
0.000482 0.000446 0.000520 0.000473 0.000473 0.000442 
0.000486 0.000452 0.000524 0.000479 0.000474 0.000481 
0.000503 0.000458 0.000528 0.000479 0.000475 0.000485 
0.000517 0.000466 0.000532 0.000480 0.000496 0.000494 
0.000528 0.000484 0.000534 0.000509 0.000632 0.000565 
0.000552 0.000694 0.000758 0.000714 0.000708 0.000701 
0.000706 0.000699 0.000760 0.000717 0.000715 0.000722 
0.000727 0.000700 0.000767 0.000724 0.000720 0.000729 
0.000730 0.000709 0.000770 0.000725 0.000727 0.000846 
0.000763 0.000712 0.000771 0.000727 0.000796 0.000857 

