#std std_nospill safe safe_nospill data simplified 
0.193855 0.188059 0.194429 0.191227 0.190914 0.191851 
0.193861 0.188166 0.194566 0.191295 0.191378 0.191851 
0.193899 0.188249 0.194596 0.191354 0.191599 0.191910 
0.193910 0.188554 0.194673 0.191639 0.191746 0.192254 
0.193931 0.188555 0.194681 0.191674 0.192064 0.192278 
0.193953 0.188592 0.194685 0.191745 0.192362 0.192294 
0.193957 0.188606 0.194709 0.191748 0.192373 0.192296 
0.193960 0.188633 0.194750 0.191766 0.192813 0.192313 
0.193971 0.188654 0.194763 0.191851 0.193849 0.192347 
0.194018 0.188657 0.194778 0.191856 0.193956 0.192392 
0.194028 0.188706 0.194841 0.191870 0.194050 0.192399 
0.194029 0.188711 0.194858 0.191892 0.194061 0.192399 
0.194053 0.188726 0.194957 0.191896 0.194082 0.192404 
0.194055 0.188789 0.194976 0.191936 0.194095 0.192432 
0.194068 0.188805 0.194977 0.191937 0.194117 0.192503 
0.194102 0.188826 0.194980 0.191940 0.194132 0.192509 
0.194164 0.188848 0.194998 0.191980 0.194153 0.192530 
0.194191 0.188870 0.195003 0.191999 0.194180 0.192538 
0.194237 0.188894 0.195052 0.192008 0.194183 0.192557 
0.194262 0.188929 0.195083 0.192014 0.194212 0.192568 
0.194353 0.188945 0.195089 0.192053 0.194227 0.192608 
0.194363 0.188967 0.195097 0.192075 0.194240 0.192630 
0.194384 0.189024 0.195099 0.192099 0.194240 0.192732 
0.194433 0.189072 0.195162 0.192180 0.194251 0.192744 
0.194442 0.189079 0.195261 0.192192 0.194253 0.192763 
0.194453 0.189128 0.195264 0.192231 0.194254 0.192790 
0.194462 0.189193 0.195311 0.192232 0.194257 0.192798 
0.194467 0.189201 0.195346 0.192266 0.194261 0.192853 
0.194479 0.189206 0.195450 0.192280 0.194271 0.192879 
0.194488 0.189228 0.195502 0.192291 0.194278 0.192893 
0.194514 0.189253 0.195514 0.192320 0.194279 0.192896 
0.194536 0.189274 0.195526 0.192323 0.194290 0.192979 
0.194563 0.189298 0.195533 0.192327 0.194311 0.192999 
0.194563 0.189308 0.195564 0.192331 0.194315 0.193027 
0.194575 0.189382 0.195571 0.192352 0.194317 0.193095 
0.194576 0.189393 0.195587 0.192360 0.194325 0.193098 
0.194622 0.189426 0.195601 0.192444 0.194340 0.193129 
0.194641 0.189430 0.195605 0.192456 0.194368 0.193156 
0.194718 0.189474 0.195676 0.192501 0.194398 0.193171 
0.194796 0.189499 0.195722 0.192594 0.194413 0.193191 
0.194815 0.189528 0.195724 0.192611 0.194415 0.193222 
0.194831 0.189541 0.195748 0.192628 0.194419 0.193264 
0.194835 0.189577 0.195827 0.192664 0.194431 0.193338 
0.194839 0.189578 0.195862 0.192693 0.194445 0.193345 
0.194857 0.189612 0.195871 0.192706 0.194467 0.193358 
0.194864 0.189700 0.195919 0.192721 0.194494 0.193398 
0.194866 0.189710 0.195947 0.192727 0.194497 0.193426 
0.194906 0.189730 0.195953 0.192732 0.194502 0.193435 
0.194921 0.189872 0.195972 0.192774 0.194511 0.193463 
0.194936 0.189887 0.195995 0.192799 0.194512 0.193482 
0.194936 0.189887 0.196004 0.192861 0.194514 0.193487 
0.194939 0.189909 0.196049 0.192874 0.194515 0.193514 
0.194947 0.189920 0.196119 0.192914 0.194517 0.193540 
0.194956 0.189923 0.196122 0.192938 0.194528 0.193549 
0.194967 0.189933 0.196134 0.193020 0.194537 0.193597 
0.195005 0.189982 0.196140 0.193045 0.194543 0.193611 
0.195016 0.189994 0.196144 0.193084 0.194544 0.193632 
0.195019 0.189998 0.196156 0.193101 0.194550 0.193638 
0.195024 0.190014 0.196221 0.193109 0.194556 0.193646 
0.195032 0.190032 0.196317 0.193109 0.194558 0.193677 
0.195032 0.190033 0.196321 0.193132 0.194562 0.193677 
0.195063 0.190048 0.196329 0.193138 0.194607 0.193695 
0.195078 0.190051 0.196344 0.193140 0.194612 0.193722 
0.195114 0.190052 0.196381 0.193208 0.194630 0.193747 
0.195141 0.190081 0.196472 0.193214 0.194656 0.193824 
0.195159 0.190082 0.196480 0.193229 0.194661 0.193897 
0.195167 0.190085 0.196514 0.193235 0.194662 0.193903 
0.195170 0.190205 0.196579 0.193255 0.194682 0.193938 
0.195412 0.190278 0.196644 0.193410 0.194696 0.193971 
0.195428 0.190284 0.196671 0.193435 0.194702 0.193979 
0.195441 0.190308 0.196686 0.193442 0.194703 0.193987 
0.195448 0.190463 0.196764 0.193554 0.194703 0.194047 
