#std std_nospill safe safe_nospill data simplified 
0.148201 0.147458 0.151634 0.147246 0.147975 0.148755 
0.148323 0.147718 0.151755 0.147492 0.148057 0.148762 
0.148408 0.147986 0.151822 0.147512 0.148145 0.148876 
0.148416 0.148000 0.151903 0.147517 0.148176 0.148947 
0.148499 0.148006 0.151903 0.147558 0.148205 0.148947 
0.148544 0.148009 0.151927 0.147620 0.148259 0.148998 
0.148551 0.148021 0.151991 0.147630 0.148319 0.149002 
0.148555 0.148039 0.151996 0.147651 0.148348 0.149012 
0.148591 0.148066 0.152023 0.147667 0.148368 0.149062 
0.148591 0.148080 0.152062 0.147711 0.148374 0.149119 
0.148609 0.148082 0.152073 0.147725 0.148396 0.149120 
0.148613 0.148092 0.152091 0.147734 0.148410 0.149129 
0.148620 0.148124 0.152095 0.147783 0.148411 0.149157 
0.148649 0.148125 0.152099 0.147798 0.148422 0.149158 
0.148652 0.148148 0.152126 0.147840 0.148422 0.149158 
0.148654 0.148150 0.152176 0.147862 0.148425 0.149163 
0.148674 0.148159 0.152230 0.147906 0.148438 0.149179 
0.148692 0.148172 0.152231 0.147910 0.148458 0.149181 
0.148699 0.148181 0.152231 0.147918 0.148468 0.149197 
0.148703 0.148199 0.152287 0.147953 0.148472 0.149199 
0.148708 0.148200 0.152317 0.147956 0.148479 0.149219 
0.148718 0.148206 0.152363 0.147972 0.148523 0.149219 
0.148727 0.148257 0.152369 0.147991 0.148536 0.149238 
0.148749 0.148259 0.152379 0.148000 0.148543 0.149276 
0.148787 0.148269 0.152389 0.148003 0.148550 0.149276 
0.148807 0.148282 0.152402 0.148022 0.148551 0.149286 
0.148880 0.148284 0.152415 0.148059 0.148561 0.149299 
0.148891 0.148285 0.152438 0.148077 0.148570 0.149306 
0.148892 0.148285 0.152444 0.148092 0.148589 0.149310 
0.148952 0.148296 0.152457 0.148131 0.148611 0.149345 
0.148973 0.148307 0.152460 0.148132 0.148621 0.149350 
0.148980 0.148325 0.152486 0.148135 0.148632 0.149363 
0.148994 0.148332 0.152503 0.148138 0.148640 0.149363 
0.148995 0.148351 0.152508 0.148142 0.148681 0.149368 
0.149003 0.148371 0.152543 0.148161 0.148709 0.149370 
0.149069 0.148388 0.152544 0.148168 0.148713 0.149396 
0.149072 0.148405 0.152548 0.148183 0.148733 0.149407 
0.149079 0.148441 0.152554 0.148201 0.148734 0.149428 
0.149084 0.148449 0.152585 0.148207 0.148734 0.149428 
0.149085 0.148453 0.152618 0.148219 0.148738 0.149445 
0.149110 0.148507 0.152619 0.148226 0.148743 0.149445 
0.149117 0.148526 0.152626 0.148242 0.148768 0.149456 
0.149121 0.148536 0.152630 0.148245 0.148773 0.149466 
