#std std_nospill safe safe_nospill data simplified 
0.001632 0.001631 0.001860 0.001825 0.001888 0.001761 
0.001632 0.001633 0.001864 0.001829 0.001890 0.001773 
0.001652 0.001634 0.001867 0.001834 0.001893 0.001779 
0.001654 0.001640 0.001870 0.001844 0.001896 0.001787 
0.001656 0.001645 0.001870 0.001844 0.001896 0.001788 
0.001659 0.001647 0.001873 0.001850 0.001897 0.001792 
0.001660 0.001650 0.001878 0.001855 0.001897 0.001796 
0.001660 0.001653 0.001880 0.001855 0.001897 0.001796 
0.001664 0.001654 0.001881 0.001857 0.001898 0.001797 
0.001665 0.001659 0.001883 0.001858 0.001899 0.001798 
0.001666 0.001661 0.001884 0.001860 0.001899 0.001798 
0.001669 0.001664 0.001887 0.001861 0.001899 0.001799 
0.001670 0.001664 0.001887 0.001863 0.001900 0.001803 
0.001672 0.001666 0.001891 0.001866 0.001900 0.001803 
0.001672 0.001668 0.001892 0.001867 0.001901 0.001804 
0.001672 0.001670 0.001893 0.001869 0.001901 0.001808 
0.001673 0.001670 0.001895 0.001869 0.001902 0.001810 
0.001674 0.001670 0.001895 0.001873 0.001902 0.001813 
0.001674 0.001671 0.001896 0.001875 0.001902 0.001814 
0.001678 0.001671 0.001897 0.001877 0.001902 0.001820 
0.001678 0.001671 0.001898 0.001877 0.001903 0.001822 
0.001679 0.001676 0.001898 0.001879 0.001903 0.001824 
0.001679 0.001676 0.001898 0.001879 0.001904 0.001825 
0.001681 0.001676 0.001899 0.001880 0.001904 0.001825 
0.001682 0.001678 0.001900 0.001889 0.001904 0.001826 
0.001682 0.001678 0.001900 0.001891 0.001905 0.001826 
0.001683 0.001679 0.001902 0.001897 0.001906 0.001831 
0.001684 0.001679 0.001903 0.001899 0.001906 0.001832 
0.001685 0.001680 0.001904 0.001900 0.001906 0.001833 
0.001692 0.001680 0.001904 0.001901 0.001907 0.001833 
0.001693 0.001683 0.001909 0.001902 0.001907 0.001837 
0.001695 0.001683 0.001909 0.001904 0.001907 0.001841 
0.001697 0.001684 0.001910 0.001905 0.001907 0.001843 
0.001697 0.001684 0.001912 0.001906 0.001908 0.001843 
0.001703 0.001686 0.001912 0.001912 0.001909 0.001843 
0.001703 0.001689 0.001914 0.001912 0.001909 0.001844 
0.001703 0.001692 0.001915 0.001912 0.001910 0.001845 
0.001703 0.001697 0.001915 0.001913 0.001910 0.001846 
0.001703 0.001697 0.001917 0.001913 0.001910 0.001847 
0.001704 0.001698 0.001917 0.001914 0.001910 0.001853 
0.001705 0.001698 0.001917 0.001914 0.001911 0.001856 
0.001706 0.001699 0.001918 0.001916 0.001912 0.001856 
0.001707 0.001700 0.001919 0.001917 0.001912 0.001857 
0.001707 0.001702 0.001919 0.001921 0.001912 0.001858 
0.001707 0.001703 0.001920 0.001924 0.001912 0.001861 
0.001708 0.001704 0.001920 0.001924 0.001912 0.001861 
0.001708 0.001704 0.001923 0.001926 0.001912 0.001862 
0.001709 0.001704 0.001924 0.001927 0.001913 0.001864 
0.001710 0.001705 0.001925 0.001928 0.001913 0.001865 
0.001713 0.001705 0.001925 0.001929 0.001913 0.001865 
0.001713 0.001708 0.001926 0.001929 0.001915 0.001866 
0.001715 0.001709 0.001927 0.001931 0.001915 0.001866 
0.001717 0.001709 0.001930 0.001931 0.001916 0.001867 
0.001722 0.001710 0.001930 0.001932 0.001916 0.001870 
0.001724 0.001710 0.001932 0.001933 0.001916 0.001870 
0.001724 0.001710 0.001934 0.001934 0.001916 0.001872 
0.001727 0.001711 0.001935 0.001939 0.001916 0.001873 
0.001728 0.001712 0.001937 0.001940 0.001916 0.001875 
0.001728 0.001714 0.001937 0.001940 0.001917 0.001875 
0.001729 0.001714 0.001938 0.001940 0.001917 0.001876 
0.001730 0.001714 0.001938 0.001940 0.001919 0.001876 
0.001734 0.001715 0.001939 0.001943 0.001919 0.001878 
0.001738 0.001716 0.001940 0.001944 0.001919 0.001881 
0.001738 0.001718 0.001940 0.001947 0.001919 0.001885 
0.001740 0.001718 0.001941 0.001948 0.001920 0.001886 
0.001740 0.001722 0.001943 0.001949 0.001920 0.001887 
0.001740 0.001722 0.001943 0.001950 0.001920 0.001888 
0.001740 0.001722 0.001944 0.001951 0.001920 0.001889 
0.001740 0.001723 0.001944 0.001951 0.001921 0.001891 
0.001741 0.001725 0.001945 0.001952 0.001922 0.001892 
0.001742 0.001726 0.001945 0.001953 0.001922 0.001894 
0.001746 0.001728 0.001946 0.001953 0.001922 0.001895 
0.001747 0.001728 0.001947 0.001954 0.001923 0.001895 
0.001747 0.001729 0.001948 0.001956 0.001925 0.001896 
0.001751 0.001731 0.001949 0.001958 0.001926 0.001897 
0.001753 0.001732 0.001951 0.001960 0.001926 0.001897 
0.001755 0.001735 0.001951 0.001961 0.001927 0.001900 
0.001756 0.001735 0.001955 0.001963 0.001928 0.001901 
0.001757 0.001735 0.001956 0.001964 0.001929 0.001902 
0.001760 0.001735 0.001959 0.001965 0.001930 0.001906 
0.001761 0.001739 0.001960 0.001969 0.001930 0.001906 
0.001761 0.001742 0.001966 0.001970 0.001931 0.001916 
0.001763 0.001745 0.001967 0.001971 0.001932 0.001916 
0.001765 0.001746 0.001968 0.001971 0.001935 0.001918 
0.001789 0.001748 0.001969 0.001972 0.001935 0.001921 
0.001790 0.001749 0.001976 0.001973 0.001937 0.001924 
0.001801 0.001751 0.002007 0.001973 0.001945 0.001936 
0.001802 0.001756 0.002009 0.001980 0.001983 0.001936 
0.001804 0.001758 0.002010 0.001980 0.001984 0.001943 
0.001807 0.001764 0.002015 0.001986 0.001984 0.001944 
0.001813 0.001775 0.002015 0.001990 0.001987 0.001948 
0.001825 0.001786 0.002021 0.001992 0.001987 0.001951 
0.001826 0.001794 0.002025 0.001993 0.001990 0.001951 
0.001832 0.001794 0.002031 0.001994 0.001991 0.001960 
0.001832 0.001797 0.002033 0.001995 0.001994 0.001960 
0.001845 0.001801 0.002038 0.002003 0.001997 0.001962 
0.001845 0.001804 0.002048 0.002005 0.001998 0.001963 
0.001864 0.001814 0.002050 0.002007 0.002002 0.001969 
0.001876 0.001817 0.002061 0.002020 0.002004 0.001988 
0.001878 0.001828 0.002075 0.002177 0.002018 0.002039 

