#std std_nospill safe safe_nospill data simplified 
0.006857 0.006514 0.007333 0.006802 0.006590 0.006997 
0.006868 0.006531 0.007343 0.006876 0.006609 0.007000 
0.006877 0.006539 0.007359 0.006880 0.006620 0.007003 
0.006877 0.006547 0.007368 0.006896 0.006623 0.007011 
0.006883 0.006554 0.007372 0.006897 0.006626 0.007034 
0.006896 0.006575 0.007372 0.006903 0.006628 0.007042 
0.006905 0.006588 0.007376 0.006912 0.006630 0.007045 
0.006912 0.006590 0.007381 0.006912 0.006637 0.007052 
0.006914 0.006594 0.007384 0.006925 0.006640 0.007064 
0.006925 0.006602 0.007387 0.006928 0.006641 0.007068 
0.006925 0.006607 0.007407 0.006930 0.006642 0.007071 
0.006928 0.006615 0.007409 0.006934 0.006643 0.007074 
0.006929 0.006616 0.007411 0.006938 0.006655 0.007076 
0.006929 0.006619 0.007413 0.006938 0.006655 0.007079 
0.006929 0.006619 0.007418 0.006939 0.006657 0.007082 
0.006935 0.006623 0.007418 0.006942 0.006658 0.007083 
0.006940 0.006634 0.007419 0.006942 0.006658 0.007096 
0.006942 0.006639 0.007425 0.006946 0.006660 0.007102 
0.006943 0.006643 0.007426 0.006948 0.006660 0.007104 
0.006951 0.006656 0.007428 0.006953 0.006660 0.007105 
0.006953 0.006658 0.007428 0.006954 0.006660 0.007105 
0.006956 0.006666 0.007432 0.006955 0.006660 0.007108 
0.006963 0.006667 0.007436 0.006955 0.006662 0.007108 
0.006965 0.006671 0.007440 0.006956 0.006666 0.007109 
0.006965 0.006673 0.007441 0.006958 0.006667 0.007110 
0.006969 0.006673 0.007442 0.006958 0.006669 0.007119 
0.006972 0.006673 0.007444 0.006961 0.006669 0.007121 
0.006973 0.006674 0.007449 0.006964 0.006670 0.007122 
0.006975 0.006675 0.007450 0.006970 0.006675 0.007125 
0.006975 0.006676 0.007454 0.006970 0.006680 0.007125 
0.006977 0.006680 0.007455 0.006971 0.006680 0.007128 
0.006978 0.006681 0.007457 0.006971 0.006683 0.007129 
0.006981 0.006682 0.007459 0.006973 0.006684 0.007130 
0.006981 0.006693 0.007459 0.006975 0.006684 0.007131 
0.006981 0.006698 0.007460 0.006979 0.006688 0.007131 
0.006982 0.006702 0.007460 0.006979 0.006688 0.007131 
0.006983 0.006704 0.007462 0.006987 0.006688 0.007131 
0.006990 0.006704 0.007463 0.006988 0.006690 0.007140 
0.006990 0.006709 0.007464 0.006988 0.006693 0.007149 
0.006993 0.006709 0.007468 0.007000 0.006696 0.007154 
0.006994 0.006709 0.007469 0.007001 0.006696 0.007155 
0.006995 0.006711 0.007472 0.007002 0.006700 0.007162 
0.006997 0.006712 0.007473 0.007003 0.006701 0.007164 
0.007000 0.006714 0.007483 0.007006 0.006701 0.007171 
0.007001 0.006715 0.007483 0.007008 0.006705 0.007171 
