#std std_nospill safe safe_nospill data simplified 
0.001973 0.001945 0.002024 0.002056 0.001991 0.001985 
0.001974 0.001946 0.002029 0.002066 0.001993 0.001988 
0.001978 0.001949 0.002033 0.002067 0.001993 0.001989 
0.001980 0.001950 0.002033 0.002070 0.001993 0.001991 
0.001982 0.001950 0.002034 0.002073 0.001993 0.001991 
0.001982 0.001953 0.002035 0.002076 0.001994 0.001993 
0.001984 0.001954 0.002035 0.002077 0.001995 0.001994 
0.001985 0.001954 0.002037 0.002078 0.001995 0.001995 
0.001985 0.001956 0.002038 0.002078 0.001995 0.001996 
0.001986 0.001956 0.002039 0.002080 0.001997 0.001997 
0.001987 0.001957 0.002041 0.002081 0.001998 0.001997 
0.001988 0.001958 0.002041 0.002083 0.001998 0.001997 
0.001988 0.001958 0.002041 0.002083 0.001998 0.001997 
0.001989 0.001960 0.002042 0.002083 0.001999 0.001998 
0.001989 0.001960 0.002042 0.002084 0.001999 0.001999 
0.001989 0.001960 0.002042 0.002084 0.002000 0.001999 
0.001990 0.001961 0.002044 0.002085 0.002000 0.002000 
0.001990 0.001961 0.002044 0.002085 0.002001 0.002000 
0.001990 0.001962 0.002045 0.002087 0.002001 0.002001 
0.001991 0.001962 0.002045 0.002088 0.002001 0.002001 
0.001992 0.001962 0.002045 0.002088 0.002001 0.002001 
0.001993 0.001962 0.002045 0.002088 0.002002 0.002001 
0.001994 0.001963 0.002046 0.002089 0.002002 0.002001 
0.001994 0.001963 0.002046 0.002089 0.002003 0.002002 
0.001994 0.001963 0.002047 0.002090 0.002003 0.002002 
0.001994 0.001964 0.002047 0.002091 0.002004 0.002002 
0.001995 0.001964 0.002047 0.002091 0.002004 0.002004 
0.001995 0.001964 0.002047 0.002091 0.002004 0.002004 
0.001997 0.001964 0.002047 0.002091 0.002006 0.002004 
0.001998 0.001964 0.002048 0.002092 0.002006 0.002005 
0.001999 0.001967 0.002048 0.002093 0.002006 0.002006 
0.001999 0.001967 0.002048 0.002094 0.002006 0.002006 
0.002000 0.001967 0.002048 0.002094 0.002007 0.002007 
0.002001 0.001968 0.002048 0.002094 0.002007 0.002007 
0.002001 0.001969 0.002048 0.002095 0.002007 0.002008 
0.002001 0.001970 0.002048 0.002095 0.002007 0.002008 
0.002002 0.001971 0.002049 0.002095 0.002009 0.002010 
0.002004 0.001971 0.002049 0.002096 0.002009 0.002010 
0.002007 0.001972 0.002049 0.002096 0.002009 0.002011 
0.002007 0.001972 0.002051 0.002097 0.002009 0.002012 
0.002008 0.001972 0.002051 0.002097 0.002010 0.002012 
0.002008 0.001972 0.002052 0.002097 0.002010 0.002012 
0.002008 0.001973 0.002052 0.002099 0.002010 0.002012 
0.002009 0.001975 0.002052 0.002099 0.002010 0.002013 
0.002009 0.001977 0.002054 0.002100 0.002011 0.002013 
0.002009 0.001978 0.002054 0.002100 0.002011 0.002013 
0.002009 0.001978 0.002054 0.002100 0.002012 0.002014 
0.002010 0.001979 0.002054 0.002102 0.002012 0.002015 
0.002011 0.001979 0.002055 0.002102 0.002013 0.002016 
0.002012 0.001979 0.002055 0.002104 0.002013 0.002016 
0.002012 0.001979 0.002057 0.002106 0.002013 0.002017 
0.002013 0.001979 0.002057 0.002106 0.002013 0.002017 
0.002014 0.001980 0.002058 0.002106 0.002013 0.002017 
0.002014 0.001980 0.002058 0.002107 0.002013 0.002017 
0.002015 0.001980 0.002058 0.002107 0.002014 0.002018 
0.002017 0.001981 0.002058 0.002107 0.002018 0.002018 
0.002019 0.001983 0.002058 0.002107 0.002018 0.002019 
0.002019 0.001985 0.002059 0.002111 0.002019 0.002019 
