#std std_nospill safe safe_nospill data simplified 
0.167503 0.163360 0.167088 0.169969 0.165795 0.163778 
0.167504 0.163792 0.167129 0.170077 0.165921 0.163806 
0.167667 0.163889 0.167378 0.170211 0.165946 0.163835 
0.167713 0.163941 0.167436 0.170440 0.166132 0.163843 
0.167769 0.163942 0.167508 0.170676 0.166134 0.163921 
0.167838 0.164083 0.167653 0.170688 0.166192 0.163950 
0.167849 0.164180 0.167703 0.170703 0.166203 0.163974 
0.167853 0.164198 0.167711 0.170878 0.166345 0.164058 
0.167877 0.164201 0.167805 0.170921 0.166396 0.164155 
0.167930 0.164229 0.167883 0.171037 0.166464 0.164237 
0.168000 0.164319 0.167899 0.171089 0.166514 0.164251 
0.168056 0.164323 0.167924 0.171150 0.166520 0.164439 
0.168124 0.164342 0.167927 0.171200 0.166599 0.164467 
0.168139 0.164343 0.167932 0.171238 0.166706 0.164509 
0.168173 0.164378 0.167942 0.171239 0.166751 0.164555 
0.168209 0.164393 0.167961 0.171291 0.166781 0.164655 
0.168274 0.164442 0.168001 0.171305 0.166794 0.164674 
0.168286 0.164449 0.168017 0.171356 0.166878 0.164720 
0.168327 0.164493 0.168024 0.171395 0.166901 0.164741 
0.168409 0.164494 0.168104 0.171397 0.166908 0.164920 
0.168480 0.164501 0.168111 0.171419 0.166914 0.164935 
0.168501 0.164502 0.168205 0.171483 0.166918 0.164983 
0.168560 0.164526 0.168277 0.171484 0.166921 0.165010 
0.168561 0.164607 0.168372 0.171529 0.166930 0.165034 
0.168582 0.164620 0.168383 0.171579 0.166963 0.165095 
0.168653 0.164629 0.168400 0.171581 0.166976 0.165224 
0.168661 0.164670 0.168443 0.171611 0.166980 0.165242 
0.168667 0.164690 0.168455 0.171633 0.166996 0.165274 
0.168706 0.164718 0.168564 0.171661 0.167012 0.165307 
0.168718 0.164723 0.168564 0.171663 0.167028 0.165320 
0.168730 0.164730 0.168613 0.171739 0.167030 0.165352 
0.168737 0.164737 0.168641 0.171831 0.167039 0.165354 
0.168785 0.164746 0.168689 0.171979 0.167058 0.165379 
0.168797 0.164785 0.168774 0.172109 0.167070 0.165420 
0.168847 0.164786 0.168785 0.172165 0.167076 0.165429 
0.168867 0.164802 0.168815 0.172351 0.167094 0.165455 
0.168871 0.164826 0.168833 0.172405 0.167098 0.165467 
0.168882 0.164829 0.168966 0.172432 0.167101 0.165473 
0.168960 0.164846 0.169033 0.172449 0.167168 0.165500 
0.168981 0.164855 0.169122 0.172543 0.167208 0.165563 
0.169032 0.164905 0.169143 0.172558 0.167217 0.165589 
0.169063 0.164940 0.169151 0.172560 0.167241 0.165609 
0.169067 0.164944 0.169163 0.172567 0.167251 0.165613 
0.169099 0.164958 0.169200 0.172579 0.167253 0.165646 
0.169119 0.164963 0.169239 0.172640 0.167320 0.165653 
0.169155 0.164973 0.169254 0.172729 0.167321 0.165715 
0.169176 0.164995 0.169292 0.172733 0.167331 0.165744 
0.169177 0.165026 0.169393 0.172819 0.167351 0.165756 
0.169241 0.165026 0.169507 0.172880 0.167399 0.165766 
0.169251 0.165073 0.169512 0.172922 0.167416 0.165810 
0.169309 0.165088 0.169538 0.173007 0.167452 0.165836 
0.169328 0.165103 0.169622 0.173013 0.167486 0.165888 
0.169346 0.165120 0.169628 0.173123 0.167491 0.165929 
0.169396 0.165127 0.169734 0.173152 0.167504 0.165996 
0.169403 0.165177 0.169774 0.173184 0.167505 0.166053 
0.169417 0.165188 0.169789 0.173200 0.167509 0.166073 
0.169434 0.165304 0.169904 0.173248 0.167526 0.166110 
0.169529 0.165317 0.169942 0.173292 0.167537 0.166126 
0.169591 0.165358 0.169947 0.173394 0.167539 0.166142 
0.169688 0.165372 0.169975 0.173400 0.167549 0.166172 
0.169767 0.165376 0.170001 0.173459 0.167655 0.166198 
0.169830 0.165487 0.170083 0.173496 0.167678 0.166219 
0.169896 0.165508 0.170171 0.173518 0.167701 0.166232 
0.169915 0.165565 0.170215 0.173537 0.167802 0.166260 
0.170107 0.165606 0.170263 0.173555 0.167876 0.166318 
0.170109 0.165639 0.170278 0.173628 0.167879 0.166347 
0.170109 0.165655 0.170340 0.173703 0.167880 0.166353 
0.170192 0.165722 0.170478 0.173940 0.167907 0.166414 
0.170194 0.165724 0.170591 0.174167 0.167919 0.166473 
0.170282 0.165732 0.170604 0.174168 0.167973 0.166512 
0.170325 0.165738 0.170657 0.174452 0.168026 0.166548 
0.170354 0.165813 0.170711 0.174455 0.168036 0.166608 
0.170401 0.165813 0.170759 0.174514 0.168049 0.166665 
0.170440 0.165832 0.170815 0.174609 0.168132 0.166787 
0.170480 0.165941 0.170950 0.174763 0.168220 0.166872 
0.170498 0.165995 0.171308 0.174870 0.168240 0.166948 
0.170513 0.166203 0.171547 0.175058 0.168266 0.166973 
0.170560 0.166242 0.171581 0.175119 0.168281 0.167055 
0.170563 0.166249 0.171832 0.175192 0.168321 0.167103 
0.170827 0.166470 0.171891 0.175378 0.168473 0.167387 
0.170865 0.166488 0.172026 0.175592 0.168562 0.167535 
0.170936 0.166510 0.172091 0.175627 0.168613 0.167553 
0.171027 0.166545 0.172587 0.175864 0.168628 0.167640 
0.171124 0.166545 0.172632 0.175898 0.168835 0.167726 
0.171158 0.166560 0.172726 0.175917 0.168853 0.167750 
0.171165 0.166621 0.172804 0.176340 0.168918 0.167885 
0.171265 0.166657 0.172810 0.176666 0.168945 0.167905 
0.171366 0.166745 0.172841 0.176709 0.168989 0.167921 
0.171395 0.166791 0.173185 0.176723 0.169102 0.168306 
0.171405 0.166815 0.173189 0.176753 0.169197 0.168339 
0.171552 0.166983 0.173302 0.176956 0.169381 0.168447 
0.171703 0.167348 0.173320 0.177651 0.169568 0.168647 
0.171767 0.167749 0.173377 0.177814 0.169632 0.169258 
0.171856 0.169756 0.173450 0.177856 0.170002 0.169426 
0.172016 0.169877 0.173544 0.177995 0.170004 0.170243 
0.172057 0.174626 0.173634 0.178560 0.170086 0.171804 
0.172231 0.175278 0.174106 0.179048 0.170126 0.171821 
0.172489 0.176050 0.174136 0.181054 0.170484 0.172258 
0.174053 0.177797 0.174560 0.182321 0.171629 0.173694 
0.175385 0.183057 0.174869 0.183944 0.172843 0.176141 

