#std std_nospill safe safe_nospill data simplified 
0.155616 0.146138 0.172378 0.171250 0.145416 0.146767 
0.155838 0.146155 0.172573 0.171282 0.145448 0.146855 
0.155889 0.146280 0.172581 0.171333 0.145450 0.146923 
0.156123 0.146393 0.172588 0.171421 0.145477 0.146962 
0.156135 0.146397 0.172612 0.171465 0.145517 0.147021 
0.156177 0.146409 0.172622 0.171490 0.145535 0.147023 
0.156190 0.146422 0.172629 0.171508 0.145639 0.147028 
0.156230 0.146426 0.172666 0.171620 0.145741 0.147064 
0.156255 0.146440 0.172683 0.171634 0.145778 0.147074 
0.156310 0.146445 0.172709 0.171687 0.145813 0.147081 
0.156336 0.146492 0.172730 0.171705 0.145870 0.147108 
0.156348 0.146550 0.172751 0.171718 0.145870 0.147118 
0.156368 0.146576 0.172770 0.171723 0.145872 0.147170 
0.156371 0.146764 0.172827 0.171725 0.145877 0.147200 
0.156400 0.146780 0.172850 0.171775 0.145894 0.147201 
0.156484 0.146804 0.172861 0.171796 0.145907 0.147258 
0.156489 0.146836 0.172875 0.171803 0.145914 0.147262 
0.156553 0.146850 0.172880 0.171909 0.145921 0.147283 
0.156590 0.146863 0.172895 0.171930 0.145948 0.147286 
0.156605 0.146924 0.172907 0.171945 0.146004 0.147305 
0.156724 0.146954 0.172918 0.171947 0.146047 0.147310 
0.156797 0.146969 0.172934 0.171982 0.146057 0.147358 
0.156882 0.146981 0.172945 0.171999 0.146066 0.147388 
0.156962 0.147019 0.172952 0.172061 0.146085 0.147389 
0.156966 0.147104 0.172968 0.172068 0.146104 0.147402 
0.156988 0.147110 0.173021 0.172072 0.146125 0.147419 
0.157012 0.147175 0.173095 0.172074 0.146131 0.147423 
0.157034 0.147241 0.173128 0.172078 0.146140 0.147489 
0.157044 0.147254 0.173196 0.172117 0.146169 0.147490 
0.157087 0.147265 0.173281 0.172120 0.146212 0.147552 
0.157174 0.147323 0.173286 0.172142 0.146281 0.147557 
0.157202 0.147466 0.173350 0.172201 0.146297 0.147563 
0.157281 0.147485 0.173390 0.172205 0.146317 0.147583 
0.157292 0.147601 0.173403 0.172206 0.146319 0.147587 
0.157391 0.147783 0.173437 0.172212 0.146339 0.147590 
0.157442 0.147828 0.173476 0.172213 0.146369 0.147648 
0.157467 0.147868 0.173537 0.172232 0.146396 0.147684 
0.157532 0.147968 0.173555 0.172247 0.146406 0.147698 
0.158294 0.147982 0.173559 0.172263 0.146422 0.147719 
0.158771 0.148009 0.173589 0.172297 0.146443 0.147722 
0.158844 0.148065 0.173667 0.172314 0.146446 0.147740 
0.159396 0.148093 0.173680 0.172331 0.146447 0.147744 
0.159692 0.148155 0.173712 0.172334 0.146473 0.147764 
0.159825 0.148333 0.173842 0.172366 0.146498 0.147846 
0.159965 0.148344 0.173859 0.172369 0.146572 0.147860 
0.160086 0.148368 0.173870 0.172397 0.146597 0.147860 
0.160133 0.148415 0.173885 0.172433 0.146633 0.147872 
0.160352 0.148482 0.173899 0.172433 0.146636 0.147876 
0.160371 0.148573 0.173914 0.172464 0.146661 0.147878 
0.160418 0.148689 0.173945 0.172469 0.146681 0.147909 
0.160697 0.148808 0.174070 0.172475 0.146706 0.147912 
0.160723 0.148868 0.174111 0.172528 0.146715 0.147913 
0.160770 0.148959 0.174129 0.172548 0.146721 0.147932 
0.160839 0.149061 0.174133 0.172583 0.146727 0.147949 
0.160857 0.149329 0.174219 0.172627 0.146743 0.147960 
0.160948 0.149339 0.174265 0.172648 0.146764 0.147961 
0.161018 0.149609 0.174360 0.172657 0.146765 0.147964 
0.161098 0.149626 0.174384 0.172712 0.146781 0.147966 
0.161110 0.149688 0.174393 0.172761 0.146834 0.147974 
0.161293 0.149807 0.174500 0.172818 0.146877 0.148031 
0.161411 0.149833 0.174502 0.172856 0.146878 0.148038 
0.161411 0.149918 0.174552 0.172857 0.146909 0.148043 
0.161477 0.150543 0.174610 0.172966 0.146955 0.148086 
0.161697 0.150595 0.174736 0.173177 0.146982 0.148093 
0.161943 0.150852 0.174762 0.173258 0.147017 0.148122 
0.161980 0.151180 0.175010 0.173325 0.147018 0.148158 
0.162016 0.151210 0.175210 0.173327 0.147084 0.148186 
0.162108 0.151365 0.175269 0.173482 0.147111 0.148249 
0.162447 0.151905 0.175513 0.173588 0.147300 0.148285 
0.162848 0.152507 0.175544 0.173701 0.147306 0.148341 
0.162925 0.152508 0.175615 0.173904 0.147550 0.148673 
0.163273 0.152545 0.177170 0.174128 0.147972 0.148769 
0.163890 0.152852 0.177690 0.174569 0.148176 0.148959 
0.163949 0.152908 0.178177 0.175070 0.149022 0.149132 
0.164102 0.153173 0.178695 0.175730 0.150160 0.149776 
0.164105 0.153586 0.178805 0.175987 0.150607 0.150030 
0.164683 0.153792 0.179013 0.176787 0.151269 0.150656 
0.165095 0.153801 0.179389 0.177967 0.153765 0.151724 
0.165392 0.154203 0.179405 0.178443 0.153773 0.151978 
